date,date_yyyymmdd,day_of_week,is_weekday,is_weekend,is_holiday,week_number,month,year
5/11/23,20230511,Thursday,1,0,0,19,May,2023
5/12/23,20230512,Friday,1,0,0,19,May,2023
5/13/23,20230513,Saturday,0,1,0,19,May,2023
5/14/23,20230514,Sunday,0,1,0,20,May,2023
5/15/23,20230515,Monday,1,0,0,20,May,2023
5/16/23,20230516,Tuesday,1,0,0,20,May,2023
5/17/23,20230517,Wednesday,1,0,0,20,May,2023
5/18/23,20230518,Thursday,1,0,0,20,May,2023
5/19/23,20230519,Friday,1,0,0,20,May,2023
5/20/23,20230520,Saturday,0,1,0,20,May,2023
5/21/23,20230521,Sunday,0,1,0,21,May,2023
5/22/23,20230522,Monday,1,0,0,21,May,2023
5/23/23,20230523,Tuesday,1,0,0,21,May,2023
5/24/23,20230524,Wednesday,1,0,0,21,May,2023
5/25/23,20230525,Thursday,1,0,0,21,May,2023
5/26/23,20230526,Friday,1,0,0,21,May,2023
5/27/23,20230527,Saturday,0,1,0,21,May,2023
5/28/23,20230528,Sunday,0,1,0,22,May,2023
5/29/23,20230529,Monday,1,0,0,22,May,2023
5/30/23,20230530,Tuesday,1,0,0,22,May,2023
5/31/23,20230531,Wednesday,1,0,0,22,May,2023
6/1/23,20230601,Thursday,1,0,0,22,June,2023
6/2/23,20230602,Friday,1,0,0,22,June,2023
6/3/23,20230603,Saturday,0,1,0,22,June,2023
6/4/23,20230604,Sunday,0,1,0,23,June,2023
6/5/23,20230605,Monday,1,0,0,23,June,2023
6/6/23,20230606,Tuesday,1,0,0,23,June,2023
6/7/23,20230607,Wednesday,1,0,0,23,June,2023
6/8/23,20230608,Thursday,1,0,0,23,June,2023
6/9/23,20230609,Friday,1,0,0,23,June,2023
6/10/23,20230610,Saturday,0,1,0,23,June,2023
6/11/23,20230611,Sunday,0,1,0,24,June,2023
6/12/23,20230612,Monday,1,0,0,24,June,2023
6/13/23,20230613,Tuesday,1,0,0,24,June,2023
6/14/23,20230614,Wednesday,1,0,0,24,June,2023
6/15/23,20230615,Thursday,1,0,0,24,June,2023
6/16/23,20230616,Friday,1,0,0,24,June,2023
6/17/23,20230617,Saturday,0,1,0,24,June,2023
6/18/23,20230618,Sunday,0,1,0,25,June,2023
6/19/23,20230619,Monday,1,0,0,25,June,2023
6/20/23,20230620,Tuesday,1,0,0,25,June,2023
6/21/23,20230621,Wednesday,1,0,0,25,June,2023
6/22/23,20230622,Thursday,1,0,0,25,June,2023
6/23/23,20230623,Friday,1,0,0,25,June,2023
6/24/23,20230624,Saturday,0,1,0,25,June,2023
6/25/23,20230625,Sunday,0,1,0,26,June,2023
6/26/23,20230626,Monday,1,0,0,26,June,2023
6/27/23,20230627,Tuesday,1,0,0,26,June,2023
6/28/23,20230628,Wednesday,1,0,0,26,June,2023
6/29/23,20230629,Thursday,1,0,0,26,June,2023
6/30/23,20230630,Friday,1,0,0,26,June,2023
7/1/23,20230701,Saturday,0,1,0,26,July,2023
7/2/23,20230702,Sunday,0,1,0,27,July,2023
7/3/23,20230703,Monday,1,0,0,27,July,2023
7/4/23,20230704,Tuesday,1,0,0,27,July,2023
7/5/23,20230705,Wednesday,1,0,0,27,July,2023
7/6/23,20230706,Thursday,1,0,0,27,July,2023
7/7/23,20230707,Friday,1,0,0,27,July,2023
7/8/23,20230708,Saturday,0,1,0,27,July,2023
7/9/23,20230709,Sunday,0,1,0,28,July,2023
7/10/23,20230710,Monday,1,0,0,28,July,2023
7/11/23,20230711,Tuesday,1,0,0,28,July,2023
7/12/23,20230712,Wednesday,1,0,0,28,July,2023
7/13/23,20230713,Thursday,1,0,0,28,July,2023
7/14/23,20230714,Friday,1,0,0,28,July,2023
7/15/23,20230715,Saturday,0,1,0,28,July,2023
7/16/23,20230716,Sunday,0,1,0,29,July,2023
7/17/23,20230717,Monday,1,0,0,29,July,2023
7/18/23,20230718,Tuesday,1,0,0,29,July,2023
7/19/23,20230719,Wednesday,1,0,0,29,July,2023
7/20/23,20230720,Thursday,1,0,0,29,July,2023
7/21/23,20230721,Friday,1,0,0,29,July,2023
7/22/23,20230722,Saturday,0,1,0,29,July,2023
7/23/23,20230723,Sunday,0,1,0,30,July,2023
7/24/23,20230724,Monday,1,0,0,30,July,2023
7/25/23,20230725,Tuesday,1,0,0,30,July,2023
7/26/23,20230726,Wednesday,1,0,0,30,July,2023
7/27/23,20230727,Thursday,1,0,0,30,July,2023
7/28/23,20230728,Friday,1,0,0,30,July,2023
7/29/23,20230729,Saturday,0,1,0,30,July,2023
7/30/23,20230730,Sunday,0,1,0,31,July,2023
7/31/23,20230731,Monday,1,0,0,31,July,2023
8/1/23,20230801,Tuesday,1,0,0,31,August,2023
8/2/23,20230802,Wednesday,1,0,0,31,August,2023
8/3/23,20230803,Thursday,1,0,0,31,August,2023
8/4/23,20230804,Friday,1,0,0,31,August,2023
8/5/23,20230805,Saturday,0,1,0,31,August,2023
8/6/23,20230806,Sunday,0,1,0,32,August,2023
8/7/23,20230807,Monday,1,0,0,32,August,2023
8/8/23,20230808,Tuesday,1,0,0,32,August,2023
8/9/23,20230809,Wednesday,1,0,0,32,August,2023
8/10/23,20230810,Thursday,1,0,0,32,August,2023
8/11/23,20230811,Friday,1,0,0,32,August,2023
8/12/23,20230812,Saturday,0,1,0,32,August,2023
8/13/23,20230813,Sunday,0,1,0,33,August,2023
8/14/23,20230814,Monday,1,0,0,33,August,2023
8/15/23,20230815,Tuesday,1,0,0,33,August,2023
8/16/23,20230816,Wednesday,1,0,0,33,August,2023
8/17/23,20230817,Thursday,1,0,0,33,August,2023
8/18/23,20230818,Friday,1,0,0,33,August,2023
8/19/23,20230819,Saturday,0,1,0,33,August,2023
8/20/23,20230820,Sunday,0,1,0,34,August,2023
8/21/23,20230821,Monday,1,0,0,34,August,2023
8/22/23,20230822,Tuesday,1,0,0,34,August,2023
8/23/23,20230823,Wednesday,1,0,0,34,August,2023
8/24/23,20230824,Thursday,1,0,0,34,August,2023
8/25/23,20230825,Friday,1,0,0,34,August,2023
8/26/23,20230826,Saturday,0,1,0,34,August,2023
8/27/23,20230827,Sunday,0,1,0,35,August,2023
8/28/23,20230828,Monday,1,0,0,35,August,2023
8/29/23,20230829,Tuesday,1,0,0,35,August,2023
8/30/23,20230830,Wednesday,1,0,0,35,August,2023
8/31/23,20230831,Thursday,1,0,0,35,August,2023
9/1/23,20230901,Friday,1,0,0,35,September,2023
9/2/23,20230902,Saturday,0,1,0,35,September,2023
9/3/23,20230903,Sunday,0,1,0,36,September,2023
9/4/23,20230904,Monday,1,0,0,36,September,2023
9/5/23,20230905,Tuesday,1,0,0,36,September,2023
9/6/23,20230906,Wednesday,1,0,0,36,September,2023
9/7/23,20230907,Thursday,1,0,0,36,September,2023
9/8/23,20230908,Friday,1,0,0,36,September,2023
9/9/23,20230909,Saturday,0,1,0,36,September,2023
9/10/23,20230910,Sunday,0,1,0,37,September,2023
9/11/23,20230911,Monday,1,0,0,37,September,2023
9/12/23,20230912,Tuesday,1,0,0,37,September,2023
9/13/23,20230913,Wednesday,1,0,0,37,September,2023
9/14/23,20230914,Thursday,1,0,0,37,September,2023
9/15/23,20230915,Friday,1,0,0,37,September,2023
9/16/23,20230916,Saturday,0,1,0,37,September,2023
9/17/23,20230917,Sunday,0,1,0,38,September,2023
9/18/23,20230918,Monday,1,0,0,38,September,2023
9/19/23,20230919,Tuesday,1,0,0,38,September,2023
9/20/23,20230920,Wednesday,1,0,0,38,September,2023
9/21/23,20230921,Thursday,1,0,0,38,September,2023
9/22/23,20230922,Friday,1,0,0,38,September,2023
9/23/23,20230923,Saturday,0,1,0,38,September,2023
9/24/23,20230924,Sunday,0,1,0,39,September,2023
9/25/23,20230925,Monday,1,0,0,39,September,2023
9/26/23,20230926,Tuesday,1,0,0,39,September,2023
9/27/23,20230927,Wednesday,1,0,0,39,September,2023
9/28/23,20230928,Thursday,1,0,0,39,September,2023
9/29/23,20230929,Friday,1,0,0,39,September,2023
9/30/23,20230930,Saturday,0,1,0,39,September,2023
10/1/23,20231001,Sunday,0,1,0,40,October,2023
10/2/23,20231002,Monday,1,0,0,40,October,2023
10/3/23,20231003,Tuesday,1,0,0,40,October,2023
10/4/23,20231004,Wednesday,1,0,0,40,October,2023
10/5/23,20231005,Thursday,1,0,0,40,October,2023
10/6/23,20231006,Friday,1,0,0,40,October,2023
10/7/23,20231007,Saturday,0,1,0,40,October,2023
10/8/23,20231008,Sunday,0,1,0,41,October,2023
10/9/23,20231009,Monday,1,0,0,41,October,2023
10/10/23,20231010,Tuesday,1,0,0,41,October,2023
10/11/23,20231011,Wednesday,1,0,0,41,October,2023
10/12/23,20231012,Thursday,1,0,0,41,October,2023
10/13/23,20231013,Friday,1,0,0,41,October,2023
10/14/23,20231014,Saturday,0,1,0,41,October,2023
10/15/23,20231015,Sunday,0,1,0,42,October,2023
10/16/23,20231016,Monday,1,0,0,42,October,2023
10/17/23,20231017,Tuesday,1,0,0,42,October,2023
10/18/23,20231018,Wednesday,1,0,0,42,October,2023
10/19/23,20231019,Thursday,1,0,0,42,October,2023
10/20/23,20231020,Friday,1,0,0,42,October,2023
10/21/23,20231021,Saturday,0,1,0,42,October,2023
10/22/23,20231022,Sunday,0,1,0,43,October,2023
10/23/23,20231023,Monday,1,0,0,43,October,2023
10/24/23,20231024,Tuesday,1,0,0,43,October,2023
10/25/23,20231025,Wednesday,1,0,0,43,October,2023
10/26/23,20231026,Thursday,1,0,0,43,October,2023
10/27/23,20231027,Friday,1,0,0,43,October,2023
10/28/23,20231028,Saturday,0,1,0,43,October,2023
10/29/23,20231029,Sunday,0,1,0,44,October,2023
10/30/23,20231030,Monday,1,0,0,44,October,2023
10/31/23,20231031,Tuesday,1,0,0,44,October,2023
11/1/23,20231101,Wednesday,1,0,0,44,November,2023
11/2/23,20231102,Thursday,1,0,0,44,November,2023
11/3/23,20231103,Friday,1,0,0,44,November,2023
11/4/23,20231104,Saturday,0,1,0,44,November,2023
11/5/23,20231105,Sunday,0,1,0,45,November,2023
11/6/23,20231106,Monday,1,0,0,45,November,2023
11/7/23,20231107,Tuesday,1,0,0,45,November,2023
11/8/23,20231108,Wednesday,1,0,0,45,November,2023
11/9/23,20231109,Thursday,1,0,0,45,November,2023
11/10/23,20231110,Friday,1,0,0,45,November,2023
11/11/23,20231111,Saturday,0,1,0,45,November,2023
11/12/23,20231112,Sunday,0,1,0,46,November,2023
11/13/23,20231113,Monday,1,0,0,46,November,2023
11/14/23,20231114,Tuesday,1,0,0,46,November,2023
11/15/23,20231115,Wednesday,1,0,0,46,November,2023
11/16/23,20231116,Thursday,1,0,0,46,November,2023
11/17/23,20231117,Friday,1,0,0,46,November,2023
11/18/23,20231118,Saturday,0,1,0,46,November,2023
11/19/23,20231119,Sunday,0,1,0,47,November,2023
11/20/23,20231120,Monday,1,0,0,47,November,2023
11/21/23,20231121,Tuesday,1,0,0,47,November,2023
11/22/23,20231122,Wednesday,1,0,0,47,November,2023
11/23/23,20231123,Thursday,1,0,0,47,November,2023
11/24/23,20231124,Friday,1,0,0,47,November,2023
11/25/23,20231125,Saturday,0,1,0,47,November,2023
11/26/23,20231126,Sunday,0,1,0,48,November,2023
11/27/23,20231127,Monday,1,0,0,48,November,2023
11/28/23,20231128,Tuesday,1,0,0,48,November,2023
11/29/23,20231129,Wednesday,1,0,0,48,November,2023
11/30/23,20231130,Thursday,1,0,0,48,November,2023
12/1/23,20231201,Friday,1,0,0,48,December,2023
12/2/23,20231202,Saturday,0,1,0,48,December,2023
12/3/23,20231203,Sunday,0,1,0,49,December,2023
12/4/23,20231204,Monday,1,0,0,49,December,2023
12/5/23,20231205,Tuesday,1,0,0,49,December,2023
12/6/23,20231206,Wednesday,1,0,0,49,December,2023
12/7/23,20231207,Thursday,1,0,0,49,December,2023
12/8/23,20231208,Friday,1,0,0,49,December,2023
12/9/23,20231209,Saturday,0,1,0,49,December,2023
12/10/23,20231210,Sunday,0,1,0,50,December,2023
12/11/23,20231211,Monday,1,0,0,50,December,2023
12/12/23,20231212,Tuesday,1,0,0,50,December,2023
12/13/23,20231213,Wednesday,1,0,0,50,December,2023
12/14/23,20231214,Thursday,1,0,0,50,December,2023
12/15/23,20231215,Friday,1,0,0,50,December,2023
12/16/23,20231216,Saturday,0,1,0,50,December,2023
12/17/23,20231217,Sunday,0,1,0,51,December,2023
12/18/23,20231218,Monday,1,0,0,51,December,2023
12/19/23,20231219,Tuesday,1,0,0,51,December,2023
12/20/23,20231220,Wednesday,1,0,0,51,December,2023
12/21/23,20231221,Thursday,1,0,0,51,December,2023
12/22/23,20231222,Friday,1,0,0,51,December,2023
12/23/23,20231223,Saturday,0,1,0,51,December,2023
12/24/23,20231224,Sunday,0,1,0,52,December,2023
12/25/23,20231225,Monday,1,0,1,52,December,2023
12/26/23,20231226,Tuesday,1,0,0,52,December,2023
12/27/23,20231227,Wednesday,1,0,0,52,December,2023
12/28/23,20231228,Thursday,1,0,0,52,December,2023
12/29/23,20231229,Friday,1,0,0,52,December,2023
12/30/23,20231230,Saturday,0,1,0,52,December,2023
12/31/23,20231231,Sunday,0,1,0,53,December,2023
1/1/24,20240101,Monday,1,0,1,0,January,2024
1/2/24,20240102,Tuesday,1,0,0,0,January,2024
1/3/24,20240103,Wednesday,1,0,0,0,January,2024
1/4/24,20240104,Thursday,1,0,0,0,January,2024
1/5/24,20240105,Friday,1,0,0,0,January,2024
1/6/24,20240106,Saturday,0,1,0,0,January,2024
1/7/24,20240107,Sunday,0,1,0,1,January,2024
1/8/24,20240108,Monday,1,0,0,1,January,2024
1/9/24,20240109,Tuesday,1,0,0,1,January,2024
1/10/24,20240110,Wednesday,1,0,0,1,January,2024
1/11/24,20240111,Thursday,1,0,0,1,January,2024
1/12/24,20240112,Friday,1,0,0,1,January,2024
1/13/24,20240113,Saturday,0,1,0,1,January,2024
1/14/24,20240114,Sunday,0,1,0,2,January,2024
1/15/24,20240115,Monday,1,0,0,2,January,2024
1/16/24,20240116,Tuesday,1,0,0,2,January,2024
1/17/24,20240117,Wednesday,1,0,0,2,January,2024
1/18/24,20240118,Thursday,1,0,0,2,January,2024
1/19/24,20240119,Friday,1,0,0,2,January,2024
1/20/24,20240120,Saturday,0,1,0,2,January,2024
1/21/24,20240121,Sunday,0,1,0,3,January,2024
1/22/24,20240122,Monday,1,0,0,3,January,2024
1/23/24,20240123,Tuesday,1,0,0,3,January,2024
1/24/24,20240124,Wednesday,1,0,0,3,January,2024
1/25/24,20240125,Thursday,1,0,0,3,January,2024
1/26/24,20240126,Friday,1,0,0,3,January,2024
1/27/24,20240127,Saturday,0,1,0,3,January,2024
1/28/24,20240128,Sunday,0,1,0,4,January,2024
1/29/24,20240129,Monday,1,0,0,4,January,2024
1/30/24,20240130,Tuesday,1,0,0,4,January,2024
1/31/24,20240131,Wednesday,1,0,0,4,January,2024
2/1/24,20240201,Thursday,1,0,0,4,February,2024
2/2/24,20240202,Friday,1,0,0,4,February,2024
2/3/24,20240203,Saturday,0,1,0,4,February,2024
2/4/24,20240204,Sunday,0,1,0,5,February,2024
2/5/24,20240205,Monday,1,0,0,5,February,2024
2/6/24,20240206,Tuesday,1,0,0,5,February,2024
2/7/24,20240207,Wednesday,1,0,0,5,February,2024
2/8/24,20240208,Thursday,1,0,0,5,February,2024
2/9/24,20240209,Friday,1,0,0,5,February,2024
2/10/24,20240210,Saturday,0,1,0,5,February,2024
2/11/24,20240211,Sunday,0,1,0,6,February,2024
2/12/24,20240212,Monday,1,0,0,6,February,2024
2/13/24,20240213,Tuesday,1,0,0,6,February,2024
2/14/24,20240214,Wednesday,1,0,0,6,February,2024
2/15/24,20240215,Thursday,1,0,0,6,February,2024
2/16/24,20240216,Friday,1,0,0,6,February,2024
2/17/24,20240217,Saturday,0,1,0,6,February,2024
2/18/24,20240218,Sunday,0,1,0,7,February,2024
2/19/24,20240219,Monday,1,0,0,7,February,2024
2/20/24,20240220,Tuesday,1,0,0,7,February,2024
2/21/24,20240221,Wednesday,1,0,0,7,February,2024
2/22/24,20240222,Thursday,1,0,0,7,February,2024
2/23/24,20240223,Friday,1,0,0,7,February,2024
2/24/24,20240224,Saturday,0,1,0,7,February,2024
2/25/24,20240225,Sunday,0,1,0,8,February,2024
2/26/24,20240226,Monday,1,0,0,8,February,2024
2/27/24,20240227,Tuesday,1,0,0,8,February,2024
2/28/24,20240228,Wednesday,1,0,0,8,February,2024
2/29/24,20240229,Thursday,1,0,0,8,February,2024
3/1/24,20240301,Friday,1,0,0,8,March,2024
3/2/24,20240302,Saturday,0,1,0,8,March,2024
3/3/24,20240303,Sunday,0,1,0,9,March,2024
3/4/24,20240304,Monday,1,0,0,9,March,2024
3/5/24,20240305,Tuesday,1,0,0,9,March,2024
3/6/24,20240306,Wednesday,1,0,0,9,March,2024
3/7/24,20240307,Thursday,1,0,0,9,March,2024
3/8/24,20240308,Friday,1,0,0,9,March,2024
3/9/24,20240309,Saturday,0,1,0,9,March,2024
3/10/24,20240310,Sunday,0,1,0,10,March,2024
3/11/24,20240311,Monday,1,0,0,10,March,2024
3/12/24,20240312,Tuesday,1,0,0,10,March,2024
3/13/24,20240313,Wednesday,1,0,0,10,March,2024
3/14/24,20240314,Thursday,1,0,0,10,March,2024
3/15/24,20240315,Friday,1,0,0,10,March,2024
3/16/24,20240316,Saturday,0,1,0,10,March,2024
3/17/24,20240317,Sunday,0,1,0,11,March,2024
3/18/24,20240318,Monday,1,0,0,11,March,2024
3/19/24,20240319,Tuesday,1,0,0,11,March,2024
3/20/24,20240320,Wednesday,1,0,0,11,March,2024
3/21/24,20240321,Thursday,1,0,0,11,March,2024
3/22/24,20240322,Friday,1,0,0,11,March,2024
3/23/24,20240323,Saturday,0,1,0,11,March,2024
3/24/24,20240324,Sunday,0,1,0,12,March,2024
3/25/24,20240325,Monday,1,0,0,12,March,2024
3/26/24,20240326,Tuesday,1,0,0,12,March,2024
3/27/24,20240327,Wednesday,1,0,0,12,March,2024
3/28/24,20240328,Thursday,1,0,0,12,March,2024
3/29/24,20240329,Friday,1,0,0,12,March,2024
3/30/24,20240330,Saturday,0,1,0,12,March,2024
3/31/24,20240331,Sunday,0,1,0,13,March,2024
4/1/24,20240401,Monday,1,0,0,13,April,2024
4/2/24,20240402,Tuesday,1,0,0,13,April,2024
4/3/24,20240403,Wednesday,1,0,0,13,April,2024
4/4/24,20240404,Thursday,1,0,0,13,April,2024
4/5/24,20240405,Friday,1,0,0,13,April,2024
4/6/24,20240406,Saturday,0,1,0,13,April,2024
4/7/24,20240407,Sunday,0,1,0,14,April,2024
4/8/24,20240408,Monday,1,0,0,14,April,2024
4/9/24,20240409,Tuesday,1,0,0,14,April,2024
4/10/24,20240410,Wednesday,1,0,0,14,April,2024
4/11/24,20240411,Thursday,1,0,0,14,April,2024
4/12/24,20240412,Friday,1,0,0,14,April,2024
4/13/24,20240413,Saturday,0,1,0,14,April,2024
4/14/24,20240414,Sunday,0,1,0,15,April,2024
4/15/24,20240415,Monday,1,0,0,15,April,2024
4/16/24,20240416,Tuesday,1,0,0,15,April,2024
4/17/24,20240417,Wednesday,1,0,0,15,April,2024
4/18/24,20240418,Thursday,1,0,0,15,April,2024
4/19/24,20240419,Friday,1,0,0,15,April,2024
4/20/24,20240420,Saturday,0,1,0,15,April,2024
4/21/24,20240421,Sunday,0,1,0,16,April,2024
4/22/24,20240422,Monday,1,0,0,16,April,2024
4/23/24,20240423,Tuesday,1,0,0,16,April,2024
4/24/24,20240424,Wednesday,1,0,0,16,April,2024
4/25/24,20240425,Thursday,1,0,0,16,April,2024
4/26/24,20240426,Friday,1,0,0,16,April,2024
4/27/24,20240427,Saturday,0,1,0,16,April,2024
4/28/24,20240428,Sunday,0,1,0,17,April,2024
4/29/24,20240429,Monday,1,0,0,17,April,2024
4/30/24,20240430,Tuesday,1,0,0,17,April,2024
5/1/24,20240501,Wednesday,1,0,0,17,May,2024
5/2/24,20240502,Thursday,1,0,0,17,May,2024
5/3/24,20240503,Friday,1,0,0,17,May,2024
5/4/24,20240504,Saturday,0,1,0,17,May,2024
5/5/24,20240505,Sunday,0,1,0,18,May,2024
5/6/24,20240506,Monday,1,0,0,18,May,2024
5/7/24,20240507,Tuesday,1,0,0,18,May,2024
5/8/24,20240508,Wednesday,1,0,0,18,May,2024
5/9/24,20240509,Thursday,1,0,0,18,May,2024
5/10/24,20240510,Friday,1,0,0,18,May,2024
