fare_id,rider_category_id,price
46,5,4
46,2,3
46,16,6.4
47,5,4.4
47,2,3.3
47,16,7.05
48,5,4.55
48,2,3.4
48,16,7.25
49,5,4.1
49,2,3.05
49,16,6.55
50,5,4.45
50,2,3.3
50,16,7.1
51,5,1.8
51,2,1.35
51,16,2.85
52,5,3.2
52,2,2.4
52,16,5.1
53,5,4.25
53,2,3.2
53,16,6.8
54,5,1.8
54,2,1.35
54,16,2.85
55,5,3.8
55,2,2.85
55,16,6.1
56,5,3.1
56,2,2.3
56,16,4.95
57,5,2.95
57,2,2.2
57,16,4.75
58,5,2.9
58,2,2.15
58,16,4.6
59,5,2.8
59,2,2.1
59,16,4.45
60,5,2.75
60,2,2.05
60,16,4.4
61,5,2.7
61,2,2
61,16,4.3
62,5,2.65
62,2,1.95
62,16,4.2
63,5,2.6
63,2,1.95
63,16,4.15
64,5,2.6
64,2,1.95
64,16,4.15
65,5,2.6
65,2,1.95
65,16,4.15
66,5,2.75
66,2,2.05
66,16,4.4
67,5,2.85
67,2,2.1
67,16,4.55
68,5,3
68,2,2.25
68,16,4.8
69,5,3.15
69,2,2.35
69,16,5
70,5,3.3
70,2,2.45
70,16,5.25
71,5,3.45
71,2,2.6
71,16,5.55
72,5,3.75
72,2,2.8
72,16,6
73,5,3.9
73,2,2.9
73,16,6.25
74,5,3.3
74,2,2.45
74,16,5.25
75,5,3.9
75,2,2.9
75,16,6.25
76,5,4.15
76,2,3.1
76,16,6.6
77,5,3.85
77,2,2.85
77,16,6.15
78,5,1.8
78,2,1.35
78,16,2.85
79,5,3.75
79,2,2.8
79,16,6
80,5,3.5
80,2,2.6
80,16,5.6
81,5,3.4
81,2,2.55
81,16,5.45
82,5,3.2
82,2,2.4
82,16,5.15
83,5,3
83,2,2.25
83,16,4.8
84,5,2.7
84,2,2
84,16,4.35
85,5,2.55
85,2,1.9
85,16,4.05
86,5,2.4
86,2,1.8
86,16,3.8
87,5,2.4
87,2,1.8
87,16,3.8
88,5,2.4
88,2,1.8
88,16,3.8
89,5,2.4
89,2,1.8
89,16,3.8
90,5,2.3
90,2,1.7
90,16,3.65
91,5,2.25
91,2,1.65
91,16,3.6
92,5,2.1
92,2,1.55
92,16,3.35
93,5,2
93,2,1.5
93,16,3.2
94,5,1.8
94,2,1.35
94,16,2.85
95,5,6.2
95,2,4.65
95,16,9.9
96,5,4.15
96,2,3.1
96,16,6.65
97,5,4.55
97,2,3.4
97,16,7.3
98,5,4.7
98,2,3.5
98,16,7.5
99,5,4.2
99,2,3.15
99,16,6.75
100,5,4.55
100,2,3.4
100,16,7.3
101,5,4.25
101,2,3.2
101,16,6.8
102,5,4.25
102,2,3.2
102,16,6.8
103,5,3.2
103,2,2.4
103,16,5.1
104,5,2.45
104,2,1.85
104,16,3.95
105,5,6.4
105,2,4.8
105,16,10.2
106,5,5.65
106,2,4.25
106,16,9.05
107,5,5.55
107,2,4.15
107,16,8.9
108,5,5.45
108,2,4.1
108,16,8.75
109,5,5.35
109,2,4
109,16,8.6
110,5,5.35
110,2,4
110,16,8.55
111,5,5.3
111,2,3.95
111,16,8.45
112,5,5.2
112,2,3.9
112,16,8.35
113,5,5.15
113,2,3.85
113,16,8.25
114,5,5.15
114,2,3.85
114,16,8.25
115,5,5.15
115,2,3.85
115,16,8.25
116,5,5.3
116,2,3.95
116,16,8.5
117,5,5.4
117,2,4.05
117,16,8.65
118,5,5.6
118,2,4.2
118,16,8.95
119,5,5.7
119,2,4.25
119,16,9.15
120,5,5.85
120,2,4.4
120,16,9.4
121,5,6.05
121,2,4.5
121,16,9.65
122,5,6.3
122,2,4.7
122,16,10.1
123,5,6.5
123,2,4.85
123,16,10.4
124,5,5.85
124,2,4.4
124,16,9.4
125,5,6.5
125,2,4.85
125,16,10.4
126,5,6.7
126,2,5
126,16,10.75
127,5,6.45
127,2,4.8
127,16,10.3
128,5,4.45
128,2,3.3
128,16,7.1
129,5,6.3
129,2,4.7
129,16,10.1
130,5,6.1
130,2,4.55
130,16,9.75
131,5,6
131,2,4.5
131,16,9.6
132,5,5.8
132,2,4.35
132,16,9.3
133,5,5.6
133,2,4.2
133,16,8.95
134,5,5.3
134,2,3.95
134,16,8.45
135,5,5.1
135,2,3.8
135,16,8.2
136,5,5
136,2,3.75
136,16,8
137,5,5
137,2,3.75
137,16,8
138,5,5
138,2,3.75
138,16,8
139,5,5
139,2,3.75
139,16,8
140,5,4.95
140,2,3.7
140,16,7.9
141,5,4.9
141,2,3.65
141,16,7.8
142,5,4.75
142,2,3.55
142,16,7.6
143,5,4.7
143,2,3.5
143,16,7.5
144,5,4.55
144,2,3.4
144,16,7.3
145,5,8.8
145,2,6.6
145,16,14.05
146,5,6.75
146,2,5.05
146,16,10.8
147,5,7.15
147,2,5.35
147,16,11.4
148,5,7.3
148,2,5.45
148,16,11.65
149,5,6.8
149,2,5.1
149,16,10.9
150,5,7.15
150,2,5.35
150,16,11.45
151,5,1.8
151,2,1.35
151,16,2.85
152,5,1.8
152,2,1.35
152,16,2.85
153,5,2.45
153,2,1.85
153,16,3.95
154,5,3.2
154,2,2.4
154,16,5.1
155,5,4
155,2,3
155,16,6.4
156,5,3.3
156,2,2.45
156,16,5.25
157,5,3.15
157,2,2.35
157,16,5.05
158,5,3.05
158,2,2.3
158,16,4.9
159,5,2.95
159,2,2.2
159,16,4.75
160,5,2.95
160,2,2.2
160,16,4.7
161,5,2.9
161,2,2.15
161,16,4.6
162,5,2.8
162,2,2.1
162,16,4.5
163,5,2.75
163,2,2.05
163,16,4.4
164,5,2.75
164,2,2.05
164,16,4.4
165,5,2.75
165,2,2.05
165,16,4.4
166,5,2.9
166,2,2.15
166,16,4.65
167,5,3
167,2,2.25
167,16,4.8
168,5,3.2
168,2,2.4
168,16,5.1
169,5,3.3
169,2,2.45
169,16,5.3
170,5,3.5
170,2,2.6
170,16,5.6
171,5,3.65
171,2,2.7
171,16,5.8
172,5,3.9
172,2,2.9
172,16,6.25
173,5,4.1
173,2,3.05
173,16,6.55
174,5,3.45
174,2,2.6
174,16,5.55
175,5,4.1
175,2,3.05
175,16,6.55
176,5,4.3
176,2,3.2
176,16,6.9
177,5,4.05
177,2,3
177,16,6.45
178,5,2.05
178,2,1.55
178,16,3.3
179,5,3.9
179,2,2.9
179,16,6.25
180,5,3.7
180,2,2.75
180,16,5.9
181,5,3.6
181,2,2.7
181,16,5.8
182,5,3.4
182,2,2.55
182,16,5.45
183,5,3.2
183,2,2.4
183,16,5.1
184,5,2.9
184,2,2.15
184,16,4.6
185,5,2.7
185,2,2
185,16,4.35
186,5,2.6
186,2,1.95
186,16,4.15
187,5,2.6
187,2,1.95
187,16,4.15
188,5,2.6
188,2,1.95
188,16,4.15
189,5,2.6
189,2,1.95
189,16,4.15
190,5,2.55
190,2,1.9
190,16,4.1
191,5,2.5
191,2,1.85
191,16,4
192,5,2.4
192,2,1.8
192,16,3.8
193,5,2.3
193,2,1.7
193,16,3.7
194,5,2.2
194,2,1.65
194,16,3.5
195,5,6.4
195,2,4.8
195,16,10.2
196,5,4.35
196,2,3.25
196,16,6.95
197,5,4.75
197,2,3.55
197,16,7.6
198,5,4.9
198,2,3.65
198,16,7.8
199,5,4.4
199,2,3.3
199,16,7.05
200,5,4.75
200,2,3.55
200,16,7.6
201,5,3.65
201,2,2.75
201,16,5.85
202,5,3.8
202,2,2.85
202,16,6.1
203,5,6.4
203,2,4.8
203,16,10.2
204,5,4
204,2,3
204,16,6.4
205,5,3.2
205,2,2.4
205,16,5.1
206,5,2.85
206,2,2.15
206,16,4.6
207,5,2.75
207,2,2.05
207,16,4.4
208,5,2.65
208,2,2
208,16,4.25
209,5,2.55
209,2,1.9
209,16,4.05
210,5,2.5
210,2,1.85
210,16,4
211,5,2.5
211,2,1.85
211,16,4
212,5,2.4
212,2,1.8
212,16,3.85
213,5,2.35
213,2,1.75
213,16,3.8
214,5,2.35
214,2,1.75
214,16,3.8
215,5,2.35
215,2,1.75
215,16,3.8
216,5,2.2
216,2,1.65
216,16,3.55
217,5,2.1
217,2,1.55
217,16,3.35
218,5,1.95
218,2,1.45
218,16,3.15
219,5,1.05
219,2,0.8
219,16,1.7
220,5,1.95
220,2,1.45
220,16,3.15
221,5,2.15
221,2,1.6
221,16,3.4
222,5,2.4
222,2,1.8
222,16,3.8
223,5,2.6
223,2,1.95
223,16,4.15
224,5,1.05
224,2,0.8
224,16,1.7
225,5,1.05
225,2,0.8
225,16,1.7
226,5,3.8
226,2,2.85
226,16,6.1
227,5,3.5
227,2,2.6
227,16,5.6
228,5,3.55
228,2,2.65
228,16,5.7
229,5,3.4
229,2,2.55
229,16,5.45
230,5,3.2
230,2,2.4
230,16,5.1
231,5,3.1
231,2,2.3
231,16,4.95
232,5,2.9
232,2,2.15
232,16,4.6
233,5,2.7
233,2,2
233,16,4.3
234,5,2.4
234,2,1.8
234,16,3.85
235,5,2.4
235,2,1.8
235,16,3.85
236,5,3.3
236,2,2.45
236,16,5.3
237,5,3.3
237,2,2.45
237,16,5.3
238,5,3.3
238,2,2.45
238,16,5.3
239,5,3.3
239,2,2.45
239,16,5.3
240,5,3.35
240,2,2.5
240,16,5.4
241,5,3.4
241,2,2.55
241,16,5.4
242,5,3.45
242,2,2.6
242,16,5.55
243,5,3.5
243,2,2.6
243,16,5.6
244,5,3.6
244,2,2.7
244,16,5.75
245,5,5.45
245,2,4.1
245,16,8.75
246,5,2.85
246,2,2.1
246,16,4.55
247,5,3.25
247,2,2.4
247,16,5.2
248,5,3.35
248,2,2.5
248,16,5.4
249,5,3.9
249,2,2.9
249,16,6.2
250,5,4.25
250,2,3.2
250,16,6.8
251,5,2.95
251,2,2.2
251,16,4.7
252,5,3.1
252,2,2.3
252,16,4.95
253,5,5.65
253,2,4.25
253,16,9.05
254,5,3.3
254,2,2.45
254,16,5.25
255,5,2.85
255,2,2.15
255,16,4.6
256,5,3.2
256,2,2.4
256,16,5.1
257,5,1.05
257,2,0.8
257,16,1.7
258,5,1.05
258,2,0.8
258,16,1.7
259,5,1.05
259,2,0.8
259,16,1.7
260,5,1.05
260,2,0.8
260,16,1.7
261,5,1.05
261,2,0.8
261,16,1.7
262,5,1.5
262,2,1.1
262,16,2.4
263,5,1.6
263,2,1.2
263,16,2.55
264,5,1.6
264,2,1.2
264,16,2.55
265,5,1.6
265,2,1.2
265,16,2.55
266,5,1.75
266,2,1.3
266,16,2.8
267,5,1.9
267,2,1.4
267,16,3
268,5,2.05
268,2,1.55
268,16,3.3
269,5,2.2
269,2,1.65
269,16,3.5
270,5,2.35
270,2,1.75
270,16,3.75
271,5,2.5
271,2,1.85
271,16,4
272,5,2.8
272,2,2.1
272,16,4.45
273,5,2.95
273,2,2.2
273,16,4.75
274,5,2.35
274,2,1.75
274,16,3.75
275,5,2.95
275,2,2.2
275,16,4.75
276,5,3
276,2,2.25
276,16,4.8
277,5,2.7
277,2,2
277,16,4.3
278,5,2.85
278,2,2.1
278,16,4.55
279,5,2.6
279,2,1.95
279,16,4.15
280,5,2.35
280,2,1.75
280,16,3.8
281,5,2.25
281,2,1.7
281,16,3.6
282,5,2.1
282,2,1.55
282,16,3.35
283,5,1.85
283,2,1.4
283,16,3
284,5,1.5
284,2,1.1
284,16,2.4
285,5,1.7
285,2,1.25
285,16,2.7
286,5,2.6
286,2,1.95
286,16,4.15
287,5,2.6
287,2,1.95
287,16,4.15
288,5,2.6
288,2,1.95
288,16,4.15
289,5,2.6
289,2,1.95
289,16,4.15
290,5,2.65
290,2,1.95
290,16,4.2
291,5,2.65
291,2,2
291,16,4.25
292,5,2.75
292,2,2.05
292,16,4.4
293,5,2.8
293,2,2.1
293,16,4.45
294,5,2.85
294,2,2.15
294,16,4.6
295,5,5.25
295,2,3.9
295,16,8.4
296,5,3.2
296,2,2.4
296,16,5.15
297,5,3.6
297,2,2.7
297,16,5.8
298,5,3.75
298,2,2.8
298,16,6
299,5,3.05
299,2,2.3
299,16,4.9
300,5,3.45
300,2,2.55
300,16,5.5
301,5,2.85
301,2,2.1
301,16,4.55
302,5,2.95
302,2,2.2
302,16,4.75
303,5,5.55
303,2,4.15
303,16,8.9
304,5,3.15
304,2,2.35
304,16,5.05
305,5,2.75
305,2,2.05
305,16,4.4
306,5,1.05
306,2,0.8
306,16,1.7
307,5,3.2
307,2,2.4
307,16,5.1
308,5,1.05
308,2,0.8
308,16,1.7
309,5,1.05
309,2,0.8
309,16,1.7
310,5,1.05
310,2,0.8
310,16,1.7
311,5,1.05
311,2,0.8
311,16,1.7
312,5,1.3
312,2,0.95
312,16,2.05
313,5,1.4
313,2,1.05
313,16,2.25
314,5,1.4
314,2,1.05
314,16,2.25
315,5,1.4
315,2,1.05
315,16,2.25
316,5,1.65
316,2,1.25
316,16,2.65
317,5,1.75
317,2,1.3
317,16,2.8
318,5,1.95
318,2,1.45
318,16,3.1
319,5,2.05
319,2,1.55
319,16,3.3
320,5,2.2
320,2,1.65
320,16,3.55
321,5,2.4
321,2,1.8
321,16,3.8
322,5,2.65
322,2,2
322,16,4.25
323,5,2.85
323,2,2.15
323,16,4.6
324,5,2.2
324,2,1.65
324,16,3.55
325,5,2.85
325,2,2.1
325,16,4.55
326,5,2.85
326,2,2.15
326,16,4.6
327,5,2.6
327,2,1.95
327,16,4.15
328,5,2.7
328,2,2
328,16,4.35
329,5,2.5
329,2,1.85
329,16,4
330,5,2.25
330,2,1.65
330,16,3.6
331,5,2.15
331,2,1.6
331,16,3.45
332,5,1.95
332,2,1.45
332,16,3.15
333,5,1.75
333,2,1.3
333,16,2.8
334,5,1.3
334,2,0.95
334,16,2.1
335,5,1.5
335,2,1.1
335,16,2.4
336,5,2.5
336,2,1.85
336,16,4
337,5,2.5
337,2,1.85
337,16,4
338,5,2.5
338,2,1.85
338,16,4
339,5,2.5
339,2,1.85
339,16,4
340,5,2.5
340,2,1.85
340,16,4
341,5,2.55
341,2,1.9
341,16,4.05
342,5,2.65
342,2,1.95
342,16,4.2
343,5,2.65
343,2,2
343,16,4.25
344,5,2.75
344,2,2.05
344,16,4.4
345,5,5.15
345,2,3.85
345,16,8.2
346,5,3.1
346,2,2.3
346,16,4.95
347,5,3.5
347,2,2.6
347,16,5.6
348,5,3.65
348,2,2.7
348,16,5.8
349,5,2.95
349,2,2.2
349,16,4.75
350,5,3.3
350,2,2.45
350,16,5.3
351,5,2.75
351,2,2.05
351,16,4.4
352,5,2.9
352,2,2.15
352,16,4.6
353,5,5.45
353,2,4.1
353,16,8.75
354,5,3.05
354,2,2.3
354,16,4.9
355,5,2.65
355,2,2
355,16,4.25
356,5,1.05
356,2,0.8
356,16,1.7
357,5,1.05
357,2,0.8
357,16,1.7
358,5,3.2
358,2,2.4
358,16,5.1
359,5,1.05
359,2,0.8
359,16,1.7
360,5,1.05
360,2,0.8
360,16,1.7
361,5,1.05
361,2,0.8
361,16,1.7
362,5,1.15
362,2,0.85
362,16,1.8
363,5,1.25
363,2,0.95
363,16,2
364,5,1.25
364,2,0.95
364,16,2
365,5,1.25
365,2,0.95
365,16,2
366,5,1.5
366,2,1.1
366,16,2.4
367,5,1.7
367,2,1.25
367,16,2.7
368,5,1.85
368,2,1.35
368,16,2.95
369,5,1.95
369,2,1.45
369,16,3.15
370,5,2.15
370,2,1.6
370,16,3.4
371,5,2.3
371,2,1.7
371,16,3.65
372,5,2.55
372,2,1.9
372,16,4.1
373,5,2.75
373,2,2.05
373,16,4.4
374,5,2.15
374,2,1.6
374,16,3.4
375,5,2.75
375,2,2.05
375,16,4.4
376,5,2.8
376,2,2.1
376,16,4.45
377,5,2.5
377,2,1.85
377,16,4
378,5,2.65
378,2,1.95
378,16,4.2
379,5,2.4
379,2,1.8
379,16,3.8
380,5,2.15
380,2,1.6
380,16,3.45
381,5,2.05
381,2,1.55
381,16,3.3
382,5,1.85
382,2,1.4
382,16,3
383,5,1.6
383,2,1.2
383,16,2.6
384,5,1.15
384,2,0.85
384,16,1.85
385,5,1.35
385,2,1
385,16,2.2
386,5,2.4
386,2,1.8
386,16,3.8
387,5,2.4
387,2,1.8
387,16,3.8
388,5,2.4
388,2,1.8
388,16,3.8
389,5,2.4
389,2,1.8
389,16,3.8
390,5,2.45
390,2,1.8
390,16,3.9
391,5,2.45
391,2,1.85
391,16,3.95
392,5,2.55
392,2,1.9
392,16,4.05
393,5,2.6
393,2,1.95
393,16,4.15
394,5,2.65
394,2,1.95
394,16,4.2
395,5,5.05
395,2,3.75
395,16,8.05
396,5,3
396,2,2.25
396,16,4.8
397,5,3.4
397,2,2.55
397,16,5.4
398,5,3.55
398,2,2.65
398,16,5.65
399,5,2.85
399,2,2.15
399,16,4.6
400,5,3.25
400,2,2.4
400,16,5.2
401,5,2.65
401,2,1.95
401,16,4.2
402,5,2.8
402,2,2.1
402,16,4.45
403,5,5.35
403,2,4
403,16,8.6
404,5,2.95
404,2,2.2
404,16,4.75
405,5,2.55
405,2,1.9
405,16,4.05
406,5,1.05
406,2,0.8
406,16,1.7
407,5,1.05
407,2,0.8
407,16,1.7
408,5,1.05
408,2,0.8
408,16,1.7
409,5,3.2
409,2,2.4
409,16,5.1
410,5,1.05
410,2,0.8
410,16,1.7
411,5,1.05
411,2,0.8
411,16,1.7
412,5,1.05
412,2,0.8
412,16,1.7
413,5,1.05
413,2,0.8
413,16,1.7
414,5,1.05
414,2,0.8
414,16,1.7
415,5,1.05
415,2,0.8
415,16,1.7
416,5,1.35
416,2,1
416,16,2.15
417,5,1.5
417,2,1.1
417,16,2.4
418,5,1.75
418,2,1.3
418,16,2.8
419,5,1.85
419,2,1.4
419,16,3
420,5,2.05
420,2,1.5
420,16,3.25
421,5,2.2
421,2,1.65
421,16,3.5
422,5,2.45
422,2,1.85
422,16,3.95
423,5,2.65
423,2,2
423,16,4.25
424,5,2.05
424,2,1.5
424,16,3.25
425,5,2.65
425,2,1.95
425,16,4.2
426,5,2.7
426,2,2
426,16,4.3
427,5,2.4
427,2,1.8
427,16,3.8
428,5,2.55
428,2,1.9
428,16,4.05
429,5,2.3
429,2,1.7
429,16,3.65
430,5,2.05
430,2,1.55
430,16,3.3
431,5,1.95
431,2,1.45
431,16,3.15
432,5,1.75
432,2,1.3
432,16,2.8
433,5,1.45
433,2,1.05
433,16,2.3
434,5,1.05
434,2,0.8
434,16,1.7
435,5,1.15
435,2,0.85
435,16,1.85
436,5,2.3
436,2,1.7
436,16,3.65
437,5,2.3
437,2,1.7
437,16,3.65
438,5,2.3
438,2,1.7
438,16,3.65
439,5,2.3
439,2,1.7
439,16,3.65
440,5,2.3
440,2,1.7
440,16,3.7
441,5,2.35
441,2,1.75
441,16,3.8
442,5,2.45
442,2,1.8
442,16,3.9
443,5,2.45
443,2,1.85
443,16,3.95
444,5,2.55
444,2,1.9
444,16,4.05
445,5,4.85
445,2,3.65
445,16,7.8
446,5,2.9
446,2,2.15
446,16,4.6
447,5,3.3
447,2,2.45
447,16,5.25
448,5,3.45
448,2,2.55
448,16,5.5
449,5,2.75
449,2,2.05
449,16,4.4
450,5,3.1
450,2,2.3
450,16,5
451,5,2.6
451,2,1.95
451,16,4.2
452,5,2.75
452,2,2.05
452,16,4.4
453,5,5.35
453,2,4
453,16,8.55
454,5,2.95
454,2,2.2
454,16,4.7
455,5,2.5
455,2,1.85
455,16,4
456,5,1.05
456,2,0.8
456,16,1.7
457,5,1.05
457,2,0.8
457,16,1.7
458,5,1.05
458,2,0.8
458,16,1.7
459,5,1.05
459,2,0.8
459,16,1.7
460,5,3.2
460,2,2.4
460,16,5.1
461,5,1.05
461,2,0.8
461,16,1.7
462,5,1.05
462,2,0.8
462,16,1.7
463,5,1.05
463,2,0.8
463,16,1.7
464,5,1.05
464,2,0.8
464,16,1.7
465,5,1.05
465,2,0.8
465,16,1.7
466,5,1.25
466,2,0.95
466,16,2
467,5,1.45
467,2,1.05
467,16,2.3
468,5,1.7
468,2,1.25
468,16,2.75
469,5,1.85
469,2,1.35
469,16,2.95
470,5,2
470,2,1.5
470,16,3.2
471,5,2.15
471,2,1.6
471,16,3.45
472,5,2.45
472,2,1.8
472,16,3.9
473,5,2.65
473,2,1.95
473,16,4.2
474,5,2
474,2,1.5
474,16,3.2
475,5,2.6
475,2,1.95
475,16,4.2
476,5,2.65
476,2,1.95
476,16,4.2
477,5,2.35
477,2,1.75
477,16,3.8
478,5,2.5
478,2,1.85
478,16,4
479,5,2.25
479,2,1.65
479,16,3.6
480,5,2
480,2,1.5
480,16,3.2
481,5,1.95
481,2,1.45
481,16,3.1
482,5,1.7
482,2,1.25
482,16,2.75
483,5,1.35
483,2,1
483,16,2.2
484,5,1.05
484,2,0.8
484,16,1.7
485,5,1.1
485,2,0.8
485,16,1.8
486,5,2.25
486,2,1.65
486,16,3.6
487,5,2.25
487,2,1.65
487,16,3.6
488,5,2.25
488,2,1.65
488,16,3.6
489,5,2.25
489,2,1.65
489,16,3.6
490,5,2.3
490,2,1.7
490,16,3.65
491,5,2.3
491,2,1.7
491,16,3.7
492,5,2.4
492,2,1.8
492,16,3.85
493,5,2.45
493,2,1.8
493,16,3.9
494,5,2.5
494,2,1.85
494,16,4
495,5,4.8
495,2,3.6
495,16,7.65
496,5,2.85
496,2,2.15
496,16,4.6
497,5,3.25
497,2,2.45
497,16,5.2
498,5,3.4
498,2,2.55
498,16,5.45
499,5,2.75
499,2,2.05
499,16,4.4
500,5,3.1
500,2,2.3
500,16,4.95
501,5,2.55
501,2,1.9
501,16,4.1
502,5,2.7
502,2,2
502,16,4.3
503,5,5.3
503,2,3.95
503,16,8.45
504,5,2.9
504,2,2.15
504,16,4.6
505,5,2.5
505,2,1.85
505,16,4
506,5,1.05
506,2,0.8
506,16,1.7
507,5,1.05
507,2,0.8
507,16,1.7
508,5,1.05
508,2,0.8
508,16,1.7
509,5,1.05
509,2,0.8
509,16,1.7
510,5,1.05
510,2,0.8
510,16,1.7
511,5,3.2
511,2,2.4
511,16,5.1
512,5,1.05
512,2,0.8
512,16,1.7
513,5,1.05
513,2,0.8
513,16,1.7
514,5,1.05
514,2,0.8
514,16,1.7
515,5,1.05
515,2,0.8
515,16,1.7
516,5,1.15
516,2,0.85
516,16,1.85
517,5,1.35
517,2,1
517,16,2.15
518,5,1.6
518,2,1.2
518,16,2.6
519,5,1.8
519,2,1.35
519,16,2.85
520,5,1.95
520,2,1.45
520,16,3.1
521,5,2.1
521,2,1.55
521,16,3.4
522,5,2.4
522,2,1.8
522,16,3.8
523,5,2.6
523,2,1.95
523,16,4.15
524,5,1.95
524,2,1.45
524,16,3.15
525,5,2.55
525,2,1.9
525,16,4.1
526,5,2.65
526,2,1.95
526,16,4.2
527,5,2.35
527,2,1.75
527,16,3.75
528,5,2.45
528,2,1.8
528,16,3.9
529,5,2.25
529,2,1.65
529,16,3.6
530,5,2
530,2,1.5
530,16,3.2
531,5,1.9
531,2,1.4
531,16,3.05
532,5,1.65
532,2,1.2
532,16,2.6
533,5,1.3
533,2,0.95
533,16,2.05
534,5,1.05
534,2,0.8
534,16,1.7
535,5,1.05
535,2,0.8
535,16,1.7
536,5,2.15
536,2,1.6
536,16,3.4
537,5,2.15
537,2,1.6
537,16,3.4
538,5,2.15
538,2,1.6
538,16,3.4
539,5,2.15
539,2,1.6
539,16,3.4
540,5,2.25
540,2,1.65
540,16,3.6
541,5,2.25
541,2,1.7
541,16,3.6
542,5,2.35
542,2,1.75
542,16,3.8
543,5,2.4
543,2,1.8
543,16,3.8
544,5,2.45
544,2,1.85
544,16,3.95
545,5,4.7
545,2,3.5
545,16,7.55
546,5,2.8
546,2,2.1
546,16,4.5
547,5,3.2
547,2,2.4
547,16,5.15
548,5,3.35
548,2,2.5
548,16,5.4
549,5,2.7
549,2,2
549,16,4.35
550,5,3.05
550,2,2.3
550,16,4.9
551,5,2.5
551,2,1.85
551,16,4
552,5,2.65
552,2,1.95
552,16,4.2
553,5,5.2
553,2,3.9
553,16,8.35
554,5,2.8
554,2,2.1
554,16,4.5
555,5,2.4
555,2,1.8
555,16,3.85
556,5,1.5
556,2,1.1
556,16,2.4
557,5,1.3
557,2,0.95
557,16,2.05
558,5,1.15
558,2,0.85
558,16,1.8
559,5,1.05
559,2,0.8
559,16,1.7
560,5,1.05
560,2,0.8
560,16,1.7
561,5,1.05
561,2,0.8
561,16,1.7
562,5,3.2
562,2,2.4
562,16,5.1
563,5,1.05
563,2,0.8
563,16,1.7
564,5,1.05
564,2,0.8
564,16,1.7
565,5,1.05
565,2,0.8
565,16,1.7
566,5,1.05
566,2,0.8
566,16,1.7
567,5,1.25
567,2,0.9
567,16,2
568,5,1.5
568,2,1.1
568,16,2.4
569,5,1.7
569,2,1.25
569,16,2.7
570,5,1.9
570,2,1.4
570,16,3
571,5,2.05
571,2,1.5
571,16,3.25
572,5,2.3
572,2,1.7
572,16,3.7
573,5,2.5
573,2,1.85
573,16,4
574,5,1.9
574,2,1.4
574,16,3
575,5,2.5
575,2,1.85
575,16,4
576,5,2.65
576,2,1.95
576,16,4.2
577,5,2.35
577,2,1.75
577,16,3.75
578,5,2.4
578,2,1.8
578,16,3.8
579,5,2.25
579,2,1.65
579,16,3.6
580,5,2
580,2,1.5
580,16,3.2
581,5,1.9
581,2,1.4
581,16,3.05
582,5,1.6
582,2,1.2
582,16,2.55
583,5,1.05
583,2,0.8
583,16,1.7
584,5,1.05
584,2,0.8
584,16,1.7
585,5,1.05
585,2,0.8
585,16,1.7
586,5,2
586,2,1.5
586,16,3.2
587,5,2
587,2,1.5
587,16,3.2
588,5,2
588,2,1.5
588,16,3.2
589,5,2
589,2,1.5
589,16,3.2
590,5,2.1
590,2,1.55
590,16,3.4
591,5,2.15
