route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,ext_route_type
55,VTA,55,Old Ironsides Station - De Anza College,,3,https://www.vta.org/go/routes/55,29588c,FFFFFF,55,704
56,VTA,56,Lockheed Martin - Tamien Station,,3,https://www.vta.org/go/routes/56,29588c,FFFFFF,56,704
57,VTA,57,Old Ironsides Station - West Valley College,,3,https://www.vta.org/go/routes/57,e4002b,FFFFFF,57,702
59,VTA,59,Stevens Creek & Saratoga - Baypointe Station via Alviso,,3,https://www.vta.org/go/routes/59,29588c,FFFFFF,59,704
60,VTA,60,Milpitas BART - Winchester Station via SJC Airport,,3,https://www.vta.org/go/routes/60,e4002b,FFFFFF,60,702
61,VTA,61,Sierra & Piedmont - Good Samaritan Hospital,,3,https://www.vta.org/go/routes/61,e4002b,FFFFFF,61,702
64A,VTA,64A,Ohlone-Chynoweth Station - McKee & White,,3,https://www.vta.org/go/routes/64A,e4002b,FFFFFF,64,702
64B,VTA,64B,Almaden & Camden - Mckee & White,,3,https://www.vta.org/go/routes/64B,e4002b,FFFFFF,65,702
66,VTA,66,North Milpitas - Kaiser San Jose,,3,https://www.vta.org/go/routes/66,e4002b,FFFFFF,66,702
68,VTA,68,San Jose Diridon - Gilroy Transit Center,,3,https://www.vta.org/go/routes/68,e4002b,FFFFFF,68,702
70,VTA,70,Milpitas BART - Capitol Station via Jackson,,3,https://www.vta.org/go/routes/70,e4002b,FFFFFF,70,702
71,VTA,71,Milpitas BART - Eastridge,,3,https://www.vta.org/go/routes/71,29588c,FFFFFF,71,704
72,VTA,72,Downtown San Jose - Senter & Monterey via McLaughlin,,3,https://www.vta.org/go/routes/72,e4002b,FFFFFF,72,702
73,VTA,73,Downtown San Jose - Senter & Monterey via Senter,,3,https://www.vta.org/go/routes/73,e4002b,FFFFFF,73,702
77,VTA,77,Milpitas BART - Eastridge via King,,3,https://www.vta.org/go/routes/77,e4002b,FFFFFF,77,702
83,VTA,83,Ohlone-Chynoweth Station - Almaden & McKean,,3,https://www.vta.org/go/routes/83,29588c,FFFFFF,83,704
84,VTA,84,Gilroy Transit Center - St. Louise Hospital via Gilroy Outlets,,3,https://www.vta.org/go/routes/84,29588c,FFFFFF,84,704
85,VTA,85,Gilroy Transit Center - St. Louise Hospital via West Gilroy,,3,https://www.vta.org/go/routes/85,29588c,FFFFFF,85,704
86,VTA,86,Gavilan College - Gilroy Transit Center,,3,https://www.vta.org/go/routes/86,29588c,FFFFFF,86,704
87,VTA,87,Morgan Hill Civic Center - Burnett Ave,,3,https://www.vta.org/go/routes/87,29588c,FFFFFF,87,704
89,VTA,89,California Avenue Caltrain - Palo Alto VA Hospital,,3,https://www.vta.org/go/routes/89,29588c,FFFFFF,89,704
101,VTA,Express 101,Camden & Hwy 85 - Stanford Research Park,,3,https://www.vta.org/go/routes/101,00b140,FFFFFF,101,701
102,VTA,Express 102,South San Jose - Stanford Research Park,,3,https://www.vta.org/go/routes/102,00b140,FFFFFF,102,701
103,VTA,Express 103,Eastridge - Stanford Research Park,,3,https://www.vta.org/go/routes/103,00b140,FFFFFF,103,701
104,VTA,Express 104,Milpitas BART - Stanford Research Park,,3,https://www.vta.org/go/routes/104,00b140,FFFFFF,104,701
121,VTA,Express 121,Gilroy/Morgan Hill - Lockheed Martin,,3,https://www.vta.org/go/routes/121,00b140,FFFFFF,121,701
200,VTA,200,Milpitas BART - Mountain View,Late-Night Orange Line Replacement Bus Shuttle,3,https://www.vta.org/go/routes/200,ff8300,FFFFFF,200,711
SCVMC,VTA,SCVMC,Santa Clara Valley Medical Center - San Jose Diridon,,3,https://www.vta.org/go/routes/SCVMC,29588c,FFFFFF,201,711
246,VTA,School 246,Milpitas High School - Yellowstone & Butano,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,246,713
247,VTA,School 247,Milpitas High School - Landess & Park Victoria,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,247,713
256,VTA,School 256,Willow Glen High School - 1st & Keyes,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,256,713
270,VTA,School 270,Independence High School - Landess & Park Victoria,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,270,713
287,VTA,School 287,Live Oak High School - Monterey & San Martin,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,287,713
288,VTA,School 288,Gunn High School - Middlefield & Colorado via Charleston,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,288,713
288L,VTA,School 288L,Gunn High School - Louis & Fielding,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,289,713
288M,VTA,School 288M,Gunn High School - Middlefield & Colorado via Waverley,,3,https://www.vta.org/school-trippers,29588c,FFFFFF,290,713
822,VTA,ACE Gray,South Sunnyvale,,3,https://acerail.com/silicon-valley-business-shuttles/,939598,FFFFFF,822,711
823,VTA,ACE Green,North Santa Clara,,3,https://acerail.com/silicon-valley-business-shuttles/,0e9972,FFFFFF,823,711
824,VTA,ACE Orange,Mountain View,,3,https://acerail.com/silicon-valley-business-shuttles/,f69238,FFFFFF,824,711
825,VTA,ACE Purple,West Milpitas,,3,https://acerail.com/silicon-valley-business-shuttles/,263996,FFFFFF,825,711
826,VTA,ACE Red,North Sunnyvale,,3,https://acerail.com/silicon-valley-business-shuttles/,d60e51,FFFFFF,826,711
827,VTA,ACE Yellow,South Santa Clara,,3,https://acerail.com/silicon-valley-business-shuttles/,ffe601,000000,827,711
828,VTA,ACE Brown,North San Jose,,3,https://acerail.com/silicon-valley-business-shuttles/,6d4739,FFFFFF,828,711
831,VTA,ACE Violet,West Milpitas,,3,https://acerail.com/silicon-valley-business-shuttles/,bbb7da,000000,831,711
911,VTA,Blue Line Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,4cb4e7,000000,911,111
912,VTA,Event Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,ff8300,000000,912,111
913,VTA,Orange Line Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,ff8300,000000,913,111
914,VTA,Green Line Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,73c92d,000000,914,111
