order_id,sales,quantity,discount,profit
CA-2014-123323,123.144,7,0.2,46.179
CA-2014-123344,211.96,4,0,8.4784
CA-2014-123400,199.296,7,0.9,1.348
CA-2014-123477,64.864,4,0.2,6.4864
CA-2014-123498,100.398,6,1,-17.3256
CA-2014-123855,139.8,5,0.2,12.2325
CA-2014-123925,40.05,3,0,11.214
CA-2014-124023,8.96,2,0,2.7776
CA-2014-124079,93.174,5,0.9,3.5253
CA-2014-124247,1403.92,5,0.2,70.196
CA-2014-124394,130.756,8,1,-35.2444
CA-2014-124429,926.44,14,0.2,-21.1696
CA-2014-124464,39.48,1,0,11.0544
CA-2014-124478,1109.725,15,0.1,436.102
CA-2014-124513,66.03,3,0,17.1678
CA-2014-124618,479.984,2,0.2,89.997
CA-2014-124646,663.75,6,0,9.7164
CA-2014-124688,1812.01,12,0,481.4421
CA-2014-124702,867.74,6,0,149.942
CA-2014-124709,238,2,0,38.08
CA-2014-124723,489.23,2,0.3,41.934
CA-2014-124730,414.63,24,0.4,139.1934
CA-2014-124737,424.376,31,1.2,98.5848
CA-2014-124807,59.696,13,0.4,16.2758
CA-2014-124856,1609.32,18,0,445.9008
CA-2014-125136,106.944,10,0.4,35.024
CA-2014-125150,232.88,5,0.2,17.466
CA-2014-125171,14.4,5,0,7.056
CA-2014-125514,68.71,6,0,21.5198
CA-2014-125542,521.224,11,0.4,87.3859
CA-2014-125556,876.73,17,0,254.2444
CA-2014-125612,163.62,14,0,51.1464
CA-2014-125682,9.96,2,0,4.8804
CA-2014-125731,1508.768,12,0.4,156.3088
CA-2014-125759,14.56,2,0,5.5328
CA-2014-125829,1729.416,21,0.8,159.6372
CA-2014-125997,3519.37,25,0.3,992.7092
CA-2014-126032,86.376,3,0.2,1.0797
CA-2014-126193,321.978,13,1.8,-536.1276
CA-2014-126200,38.064,6,1.6,-59.6184
CA-2014-126277,2.502,3,0.7,-2.0016
CA-2014-126333,5.184,1,0.2,1.8144
CA-2014-126361,2126.034,27,0.4,576.5563
CA-2014-126403,2304.37,16,0,543.5698
CA-2014-126480,8.56,2,0,3.852
CA-2014-126522,53.94,3,0,15.6426
CA-2014-126683,2354.98,11,0,402.2562
CA-2014-126760,1891.316,17,0.4,110.6962
CA-2014-126802,38.976,3,0.6,-50.6688
CA-2014-126907,15.696,3,0.2,5.1012
CA-2014-126963,36.544,2,0.2,11.8768
CA-2014-127012,76.28,4,0,26.8774
CA-2014-127131,721.476,19,0.2,79.7394
CA-2014-127159,34.79,7,0,10.7849
CA-2014-127166,186.908,12,1.5,-37.6056
CA-2014-127187,129.98,2,0,62.3904
CA-2014-127299,2692.329,9,0.7,-937.4184
CA-2014-127383,49.568,2,0.2,17.9684
CA-2014-127446,1273.623,17,1.7,-117.8601
CA-2014-127488,4.608,2,0.2,1.6704
CA-2014-127523,35.91,3,0,9.6957
CA-2014-127558,803.04,8,0,155.3241
CA-2014-127586,310.12,2,0,80.6312
CA-2014-127614,1508.13,11,0,186.7374
CA-2014-127691,165.94,4,0,59.2616
CA-2014-127859,126.624,6,0.2,41.1528
CA-2014-127866,602.43,11,0,185.3866
CA-2014-127936,21.24,3,0,8.0712
CA-2014-127964,161.07,9,0.4,54.6459
CA-2014-128055,726.548,4,0.2,267.4224
CA-2014-128146,1326.69,9,0,358.2815
CA-2014-128209,6160.616,13,0.4,676.4639
CA-2014-128237,92.36,14,0,31.462
CA-2014-128524,2158.694,10,0.2,784.8075
CA-2014-128538,7.64,1,0,3.7436
CA-2014-128622,10.95,3,0,3.285
CA-2014-128839,254.97,12,0,111.8871
CA-2014-128846,752.92,8,0,224.0423
CA-2014-128888,604.656,9,0.2,204.0714
CA-2014-128986,93.024,3,0.2,33.7212
CA-2014-129091,1022.61,13,0,460.3445
CA-2014-129147,609.438,16,1.5,-131.5086
CA-2014-129168,15.552,3,0.2,5.4432
CA-2014-129189,751.886,14,2.1,-79.1232
CA-2014-129364,265.784,39,2.1,13.8141
CA-2014-129574,48.4,5,0,23.232
CA-2014-129819,12.39,3,0,5.8233
CA-2014-129924,706.064,5,0.4,-14.6632
CA-2014-129938,445.802,7,0.3,-108.2662
CA-2014-130092,9.94,2,0,3.0814
CA-2014-130155,34.2,5,0,9.234
CA-2014-130274,21.56,7,0,10.3488
CA-2014-130421,176.772,3,0.8,-459.6072
CA-2014-130428,1142.165,14,1.1,89.4226
CA-2014-130449,100.36,14,0,39.6308
CA-2014-130575,9.264,3,0.8,-13.896
CA-2014-130624,697.32,9,0,196.5762
CA-2014-130673,108.444,12,1.2,-19.3413
CA-2014-130729,34.272,3,0.2,11.1384
CA-2014-130813,19.44,3,0,9.3312
CA-2014-130869,7.08,3,0.2,2.478
CA-2014-130960,9.84,3,0,2.8536
CA-2014-131002,1040.19,17,0,291.9927
CA-2014-131009,574.194,20,1.3,-61.1577
CA-2014-131051,58.2,3,0,28.518
CA-2014-131247,205.666,2,0.15,-12.098
CA-2014-131310,134.4,8,0.4,17.6544
CA-2014-131387,1679.96,5,0.2,125.997
CA-2014-131450,2049.816,18,0.4,604.5839
CA-2014-131527,95.968,4,0.2,9.5968
CA-2014-131541,193.152,18,0.6,34.6984
CA-2014-131800,35.448,7,0.2,12.8499
CA-2014-131905,321.56,10,0,91.2541
CA-2014-131926,3745.63,24,0,1154.6735
CA-2014-131947,318.293,31,1.7,59.6202
CA-2014-132010,389.74,14,0,35.273
CA-2014-132227,52.064,4,0.2,18.8732
CA-2014-132451,604.992,6,0.2,82.5252
CA-2014-132500,49.98,2,0,8.4966
CA-2014-132542,15.36,2,0,7.68
CA-2014-132612,1441.3,7,0,245.021
CA-2014-132787,92.52,6,0,24.9804
CA-2014-132801,107.44,10,0.2,10.744
CA-2014-132864,119.8,5,0.2,29.95
CA-2014-132913,13.97,1,0,3.6322
CA-2014-132962,267.552,8,0.4,58.9932
CA-2014-132983,159.98,2,0,57.5928
CA-2014-133158,358.696,9,0.2,48.6048
CA-2014-133228,84.83,5,0,26.1601
CA-2014-133270,13.36,2,0,4.9432
CA-2014-133305,67.4,9,0.2,29.4844
CA-2014-133354,19.44,3,0,9.3312
CA-2014-133389,8.226,3,0.7,-6.0324
CA-2014-133424,60.24,6,0,22.2
CA-2014-133543,11.76,4,0,3.1752
CA-2014-133592,2846.22,19,0,1071.7254
CA-2014-133634,47.79,3,0,16.2486
CA-2014-133690,221.35,3,0.7,-161.5825
CA-2014-133704,64.152,7,0.2,18.4338
CA-2014-133753,142.344,5,0.6,17.154
CA-2014-133809,21.396,10,1.1,-10.7366
CA-2014-133830,90.58,16,0,42.1934
CA-2014-133851,30.46,4,0,10.7732
CA-2014-133963,3.984,1,0.2,1.4442
CA-2014-134061,17.46,2,0,5.9364
CA-2014-134103,240.5,4,0,11.6502
CA-2014-134215,617.12,24,0,256.9266
CA-2014-134278,559.992,1,0.2,174.9975
CA-2014-134313,2027.144,7,0.4,252.3136
CA-2014-134551,732.312,15,0.6,87.4533
CA-2014-134572,1190.53,12,0.8,-222.016
CA-2014-134621,18.24,2,0.7,-14.592
CA-2014-134677,9.09,3,0,1.9089
CA-2014-134726,94.732,3,0.2,19.7177
CA-2014-135090,53.82,9,0,24.219
CA-2014-135405,40.544,5,0.4,10.918
CA-2014-135608,649.6,7,0.2,66.3068
CA-2014-135657,515.88,6,0,113.4936
CA-2014-135699,123.28,4,0,60.2736
CA-2014-135755,51.072,6,0.4,18.5136
CA-2014-135993,85.008,10,0.2,7.9488
CA-2014-136280,5.04,2,0.2,1.764
CA-2014-136336,828.84,6,0,0
CA-2014-136399,1308.196,13,0.4,142.8458
CA-2014-136567,2884.37,14,0,623.1933
CA-2014-136644,647.84,8,0,32.392
CA-2014-136742,44.91,6,0.7,-35.928
CA-2014-136861,31.984,2,0.2,1.999
CA-2014-137092,862.202,10,1.6,97.9913
CA-2014-137274,890.841,3,0.3,-152.7156
CA-2014-137351,43.176,7,0.2,13.4925
CA-2014-137575,199.98,2,0,83.9916
CA-2014-137589,286.344,3,0.2,-64.4274
CA-2014-137911,88.768,2,0.2,31.0688
CA-2014-138023,30.96,8,0.8,-52.632
CA-2014-138072,27.968,2,0.2,6.992
CA-2014-138100,29.5,5,0,13.2826
CA-2014-138128,1110.648,7,0.6,135.5822
CA-2014-138177,73.915,1,0.5,-45.8273
CA-2014-138198,13.904,2,0.2,4.5188
CA-2014-138240,160.592,4,0.2,38.9355
CA-2014-138296,24.56,2,0,6.8768
CA-2014-138317,385.261,16,2.2,-137.9707
CA-2014-138359,73.2,6,0,5.736
CA-2014-138436,66.3,3,0,8.619
CA-2014-138450,249.472,16,0.6,-12.214
CA-2014-138513,12.96,2,0,6.2208
CA-2014-138527,192.424,8,0.6,24.6807
CA-2014-138681,596.664,15,1,69.8868
CA-2014-138709,37.44,8,0,18.564
CA-2014-138737,8.64,3,0,2.4192
CA-2014-138940,758.352,6,0.2,265.4232
CA-2014-139017,46.864,2,0.2,7.6154
CA-2014-139192,1213.494,13,0.2,163.2654
CA-2014-139283,14.67,3,0,6.7482
CA-2014-139423,76.12,2,0,22.0748
CA-2014-139451,36.29,6,0,10.3751
CA-2014-139542,54.474,6,0.9,-9.0789
CA-2014-139598,361.608,11,0.8,-22.6371
CA-2014-139633,5.484,4,0.7,-4.0216
CA-2014-139857,12.35,5,0,5.8045
CA-2014-139892,10539.896,37,2.3,-1878.7892
CA-2014-140004,13.456,5,0.4,2.7914
CA-2014-140032,8.608,2,0.2,3.0128
CA-2014-140039,79.4,5,0.2,5.955
CA-2014-140165,405.456,10,0.9,-329.5624
CA-2014-140228,211.576,8,0.6,-33.1954
CA-2014-140396,907.56,16,0.2,251.172
CA-2014-140403,137.632,5,0.2,21.2518
CA-2014-140473,719.976,3,0.2,134.9955
CA-2014-140487,212.94,3,0,57.4938
CA-2014-140662,1075.37,12,0,432.7264
CA-2014-140732,707.628,15,0.2,115.3796
CA-2014-140795,468.9,6,0,206.316
CA-2014-140816,447.944,7,0.2,89.5888
CA-2014-140858,1639.711,23,2.1,106.722
CA-2014-140886,69.216,6,0.2,11.2476
CA-2014-141005,62.94,3,0,30.2112
CA-2014-141110,67.112,9,0.4,22.4442
CA-2014-141152,33.552,1,0.2,12.582
CA-2014-141173,67.15,5,0,16.7875
CA-2014-141278,21.4,5,0,6.206
CA-2014-141299,15.28,2,0,7.4872
CA-2014-141313,2583.19,15,0,654.9194
CA-2014-141355,14.576,2,0.2,2.3686
CA-2014-141607,43.31,1,0,4.331
CA-2014-141649,795.408,6,0.2,59.6556
CA-2014-141726,176.494,10,0.2,78.7312
CA-2014-141796,1214.85,3,0,352.3065
CA-2014-141817,19.536,3,0.2,4.884
CA-2014-141838,60.08,8,0.4,13.1468
CA-2014-141901,5.98,1,0,2.691
CA-2014-142048,196.752,6,0.2,56.5662
CA-2014-142314,207.24,11,0,58.0272
CA-2014-142510,274.096,11,1.2,23.5416
CA-2014-142587,531.382,7,0.6,-109.1754
CA-2014-142727,69.9,5,0,21.6012
CA-2014-142769,561.73,21,0,201.5525
CA-2014-142839,853.092,6,0.4,-227.4912
CA-2014-142951,23.472,3,0.2,4.9878
CA-2014-142965,53.344,4,0.9,-27.0848
CA-2014-142979,39.68,2,0,16.2688
CA-2014-143168,63.304,3,0.2,28.3524
CA-2014-143182,15.384,1,0.2,4.0383
CA-2014-143210,327.56,7,0,97.6772
CA-2014-143336,244.76,9,0.4,25.8774
CA-2014-143371,1049.97,14,0,43.2636
CA-2014-143385,92.52,9,0,18.504
CA-2014-143413,116.28,3,0,56.9772
CA-2014-143637,40.48,2,0,14.5728
CA-2014-143840,180.93,3,0,46.581
CA-2014-143903,1340.976,10,1.1,-115.8528
CA-2014-143917,8319.29,17,0,376.8324
CA-2014-144029,475.788,8,0.7,5.7378
CA-2014-144071,119.32,5,0,39.7648
CA-2014-144281,491.55,5,0,240.8595
CA-2014-144407,103.6,7,0,51.8
CA-2014-144414,3290.516,11,0.2,1073.143
CA-2014-144624,4548.81,7,0,1228.1787
CA-2014-144666,1517.574,27,0.35,201.211
CA-2014-144974,68.53,12,1.1,3.2926
CA-2014-145212,5.46,3,0,1.4742
CA-2014-145254,992.828,17,0.4,115.0252
CA-2014-145317,23661.228,25,2,-1789.7327
CA-2014-145387,2116.506,20,0.3,472.0844
CA-2014-145541,6999.96,4,0,2239.9872
CA-2014-145576,26.128,8,0.4,5.0743
CA-2014-145800,355.455,3,0.5,-184.8366
CA-2014-145926,479.9,5,0,81.583
CA-2014-146283,1166.716,13,0.7,53.9192
CA-2014-146500,121.24,8,0,21.485
CA-2014-146528,22,5,0,7.676
CA-2014-146591,378.594,24,1.8,-287.9976
CA-2014-146640,334.768,7,0.2,108.7996
CA-2014-146703,211.96,4,0,8.4784
CA-2014-146731,147.344,11,0.4,49.7286
CA-2014-146815,176.284,4,0.1,15.1268
CA-2014-146843,150.232,11,0.4,-13.0146
CA-2014-146864,216.4,4,0,56.264
CA-2014-146885,13.62,3,0,6.129
CA-2014-146969,968.3,10,0.2,299.0266
CA-2014-146990,36.1,7,0,16.7244
CA-2014-146997,5.94,3,0,0
CA-2014-147235,24.9,5,0,11.703
CA-2014-147298,248.568,9,0.4,28.743
CA-2014-147543,478.48,2,0.2,47.848
CA-2014-147900,28.8,9,0.2,10.08
CA-2014-147914,16.224,2,0.2,5.8812
CA-2014-148040,388.704,6,0.4,-12.1296
CA-2014-148285,22.32,5,0.4,7.6626
CA-2014-148369,11.12,4,0,5.4488
CA-2014-148383,946.764,6,0.7,-694.2936
CA-2014-148425,6.642,9,0.7,-4.428
CA-2014-148488,117.704,9,0.2,42.446
CA-2014-148586,366.786,7,0.1,65.2064
CA-2014-148614,38.66,4,0,15.0828
CA-2014-148761,91.68,3,0,45.84
CA-2014-148782,88.776,3,0.2,7.7679
CA-2014-148915,599.896,8,0.4,-39.7414
CA-2014-148950,43.016,9,1.2,-10.3947
CA-2014-149020,54.83,2,0,22.6537
CA-2014-149055,62.808,3,0.2,21.1977
CA-2014-149104,770.61,16,0,50.8443
CA-2014-149244,35.34,2,0,13.4292
CA-2014-149524,61.96,4,0.5,-53.2856
CA-2014-149538,364.93,12,0,67.975
CA-2014-149594,103.936,4,0.2,16.8896
CA-2014-149643,273.96,2,0,10.9584
CA-2014-149958,370.782,14,2,33.598
CA-2014-150203,250.26,6,0,72.5754
CA-2014-150245,1573.488,7,0.2,196.686
CA-2014-150301,63.882,1,0.1,10.647
CA-2014-150329,46.872,7,0.2,3.5154
CA-2014-150490,78.12,5,0,15.1416
CA-2014-150518,503.13,7,0,136.4532
CA-2014-150581,499.552,5,0.2,142.4758
CA-2014-150798,1614.124,17,1.1,72.1372
CA-2014-151001,101.728,8,0.4,7.6296
CA-2014-151078,49.632,4,0.2,4.9632
CA-2014-151162,362.466,13,1.9,-36.7818
CA-2014-151295,641.024,5,0.2,37.3136
