customer_id,dim_segment_id,dim_city_id,dim_state_id,dim_region_id
SB-20290,SG02,C13,S06,R03
RC-19825,SG01,C23,S11,R03
AH-10210,SG01,C72,S02,R02
CB-12535,SG02,C73,S04,R01
PG-18895,SG01,C74,S31,R04
CA-12310,SG02,C75,S25,R04
KH-16690,SG02,C09,S02,R02
HA-14920,SG01,C09,S02,R02
BB-10990,SG02,C76,S02,R02
AG-10495,SG02,C11,S10,R04
SC-20725,SG01,C13,S06,R03
JO-15280,SG01,C02,S02,R02
TB-21520,SG01,C33,S22,R02
AH-10195,SG02,C77,S03,R01
NZ-18565,SG03,C39,S25,R04
KL-16555,SG02,C78,S23,R02
JD-15895,SG02,C79,S31,R04
JH-15910,SG01,C23,S11,R03
AS-10225,SG02,C21,S16,R04
KB-16600,SG02,C80,S13,R03
CR-12625,SG03,C81,S31,R04
SH-20395,SG01,C82,S18,R01
BP-11185,SG02,C83,S23,R02
TS-21205,SG02,C84,S31,R04
AG-10525,SG02,C85,S03,R01
SP-20860,SG02,C11,S10,R04
NM-18445,SG03,C21,S16,R04
FA-14230,SG02,C86,S02,R02
GK-14620,SG02,C87,S02,R02
DJ-13510,SG02,C88,S19,R01
PO-18850,SG01,C11,S10,R04
JL-15850,SG01,C11,S10,R04
DB-13615,SG01,C02,S02,R02
AC-10420,SG02,C09,S02,R02
KL-16645,SG01,C89,S08,R02
CS-12130,SG01,C90,S06,R03
CC-12550,SG01,C09,S02,R02
TD-20995,SG01,C91,S32,R04
AB-10060,SG03,C21,S16,R04
JL-15505,SG01,C21,S16,R04
HK-14890,SG02,C36,S04,R01
VB-21745,SG02,C39,S33,R01
KW-16435,SG01,C21,S16,R04
JD-16060,SG01,C09,S02,R02
MK-17905,SG02,C92,S30,R04
GT-14755,SG01,C93,S06,R03
AG-10900,SG01,C94,S17,R02
MM-18280,SG02,C95,S11,R03
AR-10405,SG02,C48,S32,R04
RA-19915,SG01,C13,S06,R03
AS-10285,SG02,C09,S02,R02
LA-16780,SG02,C80,S13,R03
DO-13435,SG01,C96,S03,R01
DK-13225,SG02,C11,S10,R04
NG-18430,SG01,C75,S25,R04
MV-18190,SG01,C21,S16,R04
JG-15115,SG01,C97,S05,R02
BP-11095,SG02,C98,S11,R03
VP-21730,SG03,C99,S34,R02
SS-20140,SG02,C100,S35,R04
HP-14815,SG03,C26,S13,R03
AG-10675,SG01,C13,S06,R03
LF-17185,SG01,C101,S03,R01
SP-20650,SG02,C41,S04,R01
RF-19840,SG01,C21,S16,R04
KH-16510,SG01,C09,S02,R02
KC-16675,SG02,C05,S05,R02
CJ-12010,SG01,C102,S02,R02
PB-19150,SG01,C02,S02,R02
VB-21745,SG02,C103,S01,R01
SP-20860,SG02,C02,S02,R02
JE-15745,SG01,C104,S23,R02
MP-17965,SG02,C105,S32,R04
NF-18385,SG01,C26,S36,R01
JM-15265,SG02,C106,S13,R03
SD-20485,SG03,C107,S16,R04
KH-16630,SG02,C53,S06,R03
RB-19795,SG03,C108,S04,R01
DB-13060,SG01,C91,S32,R04
MK-18160,SG01,C109,S03,R01
PO-19180,SG03,C23,S11,R03
BB-11545,SG02,C13,S06,R03
PK-19075,SG01,C67,S13,R03
TB-21595,SG01,C39,S15,R03
RB-19360,SG01,C110,S16,R04
EB-13705,SG02,C60,S25,R04
KH-16630,SG02,C111,S27,R03
SC-20095,SG01,C04,S02,R02
NF-18385,SG01,C28,S11,R03
JH-15985,SG01,C05,S05,R02
TN-21040,SG03,C43,S17,R02
JS-15940,SG03,C112,S11,R03
DS-13180,SG02,C113,S06,R03
CC-12670,SG01,C23,S11,R03
MH-17785,SG02,C114,S16,R04
JP-15520,SG01,C09,S02,R02
KH-16690,SG02,C02,S02,R02
JE-15475,SG01,C22,S16,R04
JG-15805,SG02,C21,S16,R04
XP-21865,SG01,C71,S02,R02
EM-14065,SG01,C21,S16,R04
MT-18070,SG03,C02,S02,R02
SA-20830,SG01,C23,S11,R03
CW-11905,SG03,C115,S06,R03
AJ-10960,SG01,C31,S16,R04
SS-20590,SG01,C05,S05,R02
RO-19780,SG01,C27,S19,R01
MD-17350,SG01,C116,S37,R01
SC-20095,SG01,C117,S02,R02
MY-17380,SG02,C118,S23,R02
EB-13705,SG02,C21,S16,R04
CM-12385,SG01,C119,S33,R01
LS-17245,SG01,C120,S26,R03
LF-17185,SG01,C47,S25,R04
BN-11515,SG01,C02,S02,R02
AD-10180,SG03,C121,S38,R02
DB-13210,SG01,C13,S06,R03
MC-17605,SG02,C67,S13,R03
LH-17155,SG01,C02,S02,R02
BD-11605,SG01,C105,S32,R04
PH-18790,SG03,C122,S03,R01
MG-18145,SG01,C11,S10,R04
KB-16240,SG02,C02,S02,R02
JC-15340,SG01,C02,S02,R02
RL-19615,SG01,C123,S20,R01
AA-10375,SG01,C124,S17,R02
EP-13915,SG01,C23,S11,R03
DK-12985,SG01,C01,S01,R01
BD-11500,SG01,C125,S07,R03
ES-14080,SG02,C94,S17,R02
LM-17065,SG01,C25,S25,R04
PG-18895,SG01,C06,S06,R03
AS-10135,SG03,C21,S16,R04
DK-13225,SG02,C23,S11,R03
BD-11320,SG01,C09,S02,R02
RC-19960,SG01,C109,S03,R01
GT-14710,SG01,C13,S06,R03
DK-13225,SG02,C126,S02,R02
AJ-10945,SG01,C41,S04,R01
OT-18730,SG01,C02,S02,R02
LP-17080,SG01,C09,S02,R02
CA-12775,SG01,C68,S03,R01
JF-15490,SG01,C05,S05,R02
FP-14320,SG01,C02,S02,R02
EB-13840,SG02,C05,S05,R02
JF-15415,SG01,C21,S16,R04
SF-20200,SG01,C127,S05,R02
TG-21640,SG01,C86,S02,R02
CS-11950,SG01,C23,S11,R03
CC-12145,SG01,C02,S02,R02
DV-13465,SG01,C61,S23,R02
BD-11725,SG01,C103,S01,R01
ZC-21910,SG01,C128,S22,R02
MS-17830,SG01,C129,S06,R03
LR-16915,SG01,C71,S02,R02
TP-21130,SG01,C11,S10,R04
CK-12205,SG01,C11,S10,R04
AS-10240,SG01,C68,S03,R01
AR-10510,SG01,C11,S10,R04
NB-18655,SG02,C62,S06,R03
GD-14590,SG02,C11,S10,R04
CK-12595,SG01,C130,S25,R04
NG-18355,SG02,C21,S16,R04
CA-12265,SG01,C23,S11,R03
SF-20965,SG02,C131,S13,R03
MO-17800,SG03,C21,S16,R04
AT-10735,SG01,C05,S05,R02
LC-17140,SG01,C09,S02,R02
FM-14380,SG01,C35,S23,R02
BD-11605,SG01,C101,S03,R01
DJ-13420,SG02,C132,S33,R01
ME-17725,SG01,C35,S23,R02
RB-19465,SG03,C133,S02,R02
JD-16150,SG02,C32,S12,R03
JL-15835,SG01,C134,S02,R02
SC-20305,SG01,C135,S13,R03
TW-21025,SG03,C136,S31,R04
CC-12430,SG03,C39,S15,R03
BB-10990,SG02,C137,S17,R02
AR-10825,SG02,C138,S05,R02
SR-20740,SG03,C21,S16,R04
AR-10405,SG02,C21,S16,R04
CR-12730,SG01,C39,S25,R04
EH-14125,SG03,C35,S11,R03
CB-12025,SG01,C82,S06,R03
SP-20545,SG02,C21,S16,R04
RC-19825,SG01,C104,S01,R01
TH-21235,SG02,C62,S06,R03
RP-19390,SG01,C139,S25,R04
MO-17800,SG03,C23,S11,R03
TD-20995,SG01,C95,S11,R03
RB-19570,SG01,C39,S15,R03
CD-11980,SG01,C140,S06,R03
DJ-13630,SG01,C21,S16,R04
GT-14635,SG02,C141,S04,R01
MC-17845,SG01,C26,S36,R01
RA-19285,SG01,C21,S16,R04
NP-18325,SG01,C142,S18,R01
AB-10165,SG01,C02,S02,R02
JO-15550,SG03,C143,S10,R04
Dl-13600,SG02,C139,S25,R04
AS-10285,SG02,C05,S05,R02
JK-15370,SG01,C86,S02,R02
BN-11470,SG02,C144,S04,R01
DP-13165,SG01,C21,S16,R04
TH-21550,SG03,C21,S16,R04
AP-10915,SG01,C145,S03,R01
RS-19765,SG02,C146,S16,R04
Dl-13600,SG02,C05,S05,R02
SV-20365,SG01,C19,S14,R04
KC-16540,SG01,C47,S25,R04
CK-12325,SG03,C12,S08,R02
RD-19810,SG03,C02,S02,R02
MP-17965,SG02,C67,S13,R03
MR-17545,SG03,C11,S10,R04
SC-20695,SG02,C147,S03,R01
JF-15355,SG01,C90,S06,R03
EG-13900,SG01,C148,S16,R04
DS-13030,SG03,C05,S05,R02
GZ-14470,SG01,C09,S02,R02
PO-19195,SG03,C15,S11,R03
SS-20875,SG01,C62,S06,R03
MH-17785,SG02,C71,S02,R02
PB-19105,SG01,C149,S11,R03
RF-19735,SG01,C150,S13,R03
YC-21895,SG02,C09,S02,R02
MS-17830,SG01,C02,S02,R02
NB-18655,SG02,C109,S03,R01
DC-13285,SG01,C151,S12,R03
CP-12340,SG02,C21,S16,R04
BF-11020,SG02,C125,S07,R03
AR-10510,SG01,C02,S02,R02
JC-16105,SG02,C119,S33,R01
LH-17020,SG01,C39,S25,R04
CS-12250,SG02,C152,S29,R01
AJ-10795,SG02,C85,S03,R01
LE-16810,SG01,C82,S18,R01
BV-11245,SG02,C97,S24,R03
DL-12865,SG01,C75,S25,R04
NZ-18565,SG03,C09,S02,R02
BM-11785,SG01,C39,S25,R04
EA-14035,SG02,C30,S21,R01
CL-12565,SG01,C153,S02,R02
LT-17110,SG01,C153,S02,R02
SA-20830,SG01,C103,S18,R01
JK-15730,SG01,C154,S04,R01
ES-14020,SG01,C09,S02,R02
RH-19495,SG01,C31,S12,R03
DB-13120,SG02,C31,S16,R04
CD-11920,SG01,C155,S02,R02
HW-14935,SG02,C71,S02,R02
HW-14935,SG02,C21,S16,R04
MC-18130,SG02,C54,S29,R01
GM-14440,SG01,C09,S02,R02
RA-19915,SG01,C61,S23,R02
AA-10375,SG01,C156,S09,R03
ZC-21910,SG01,C157,S05,R02
PJ-19015,SG01,C158,S02,R02
BW-11110,SG02,C159,S07,R03
DB-13210,SG01,C11,S10,R04
CA-12775,SG01,C11,S10,R04
TR-21325,SG01,C79,S31,R04
PG-18820,SG01,C09,S02,R02
GT-14710,SG01,C70,S12,R03
JE-15745,SG01,C160,S01,R01
JB-15400,SG02,C68,S03,R01
LH-17020,SG01,C140,S06,R03
JL-15175,SG03,C30,S19,R01
EB-13705,SG02,C06,S06,R03
BM-11650,SG02,C21,S16,R04
EM-14095,SG02,C02,S02,R02
AF-10885,SG01,C104,S01,R01
GA-14725,SG01,C161,S25,R04
CK-12760,SG02,C162,S31,R04
DP-13105,SG02,C163,S02,R02
VD-21670,SG01,C26,S36,R01
GT-14710,SG01,C21,S16,R04
BK-11260,SG01,C21,S16,R04
SJ-20125,SG03,C164,S31,R04
CM-12445,SG01,C09,S02,R02
AJ-10795,SG02,C109,S03,R01
AJ-10780,SG02,C25,S18,R01
LS-16945,SG02,C11,S10,R04
GP-14740,SG02,C153,S10,R04
PK-18910,SG03,C11,S10,R04
TB-21520,SG01,C04,S39,R04
SM-20005,SG01,C21,S16,R04
GA-14725,SG01,C36,S04,R01
CC-12430,SG03,C04,S39,R04
AG-10765,SG03,C11,S10,R04
HP-14815,SG03,C21,S16,R04
DK-13090,SG01,C25,S18,R01
PM-19135,SG03,C67,S13,R03
LL-16840,SG01,C31,S16,R04
JS-15595,SG02,C02,S02,R02
OT-18730,SG01,C71,S02,R02
EL-13735,SG03,C30,S40,R04
CK-12760,SG02,C09,S02,R02
JE-15475,SG01,C107,S16,R04
TH-21550,SG03,C67,S13,R03
PC-18745,SG02,C09,S02,R02
HL-15040,SG01,C13,S06,R03
MS-17365,SG01,C67,S13,R03
GB-14530,SG02,C110,S16,R04
JR-16210,SG02,C25,S25,R04
TD-20995,SG01,C165,S06,R03
DB-13060,SG01,C23,S11,R03
LC-17140,SG01,C02,S02,R02
PO-18865,SG01,C21,S16,R04
BE-11335,SG03,C26,S13,R03
SC-20050,SG03,C166,S30,R04
BM-11650,SG02,C159,S07,R03
KL-16555,SG02,C53,S06,R03
RW-19630,SG02,C62,S06,R03
RC-19825,SG01,C167,S18,R01
SE-20110,SG01,C21,S16,R04
AH-10075,SG02,C21,S16,R04
JM-15535,SG01,C11,S10,R04
JJ-15760,SG03,C25,S18,R01
AB-10165,SG01,C168,S25,R04
RK-19300,SG01,C11,S10,R04
CG-12040,SG03,C11,S10,R04
RA-19885,SG02,C169,S28,R02
RP-19270,SG02,C170,S02,R02
KC-16255,SG02,C09,S02,R02
RW-19630,SG02,C171,S02,R02
JL-15850,SG01,C05,S05,R02
CA-12775,SG01,C124,S17,R02
RB-19795,SG03,C11,S10,R04
KH-16360,SG01,C11,S10,R04
GH-14665,SG01,C172,S06,R03
SW-20275,SG01,C26,S36,R01
JA-15970,SG01,C43,S17,R02
DL-12925,SG01,C148,S02,R02
LW-16990,SG02,C09,S02,R02
TB-21190,SG03,C116,S37,R01
CV-12805,SG02,C09,S02,R02
MS-17365,SG01,C173,S03,R01
BS-11800,SG03,C21,S16,R04
DL-13315,SG01,C11,S10,R04
PO-19195,SG03,C21,S16,R04
TD-20995,SG01,C33,S22,R02
BW-11110,SG02,C67,S13,R03
RW-19690,SG01,C41,S04,R01
KB-16600,SG02,C39,S15,R03
EB-13870,SG01,C21,S16,R04
TZ-21580,SG01,C104,S23,R02
AS-10630,SG03,C46,S06,R03
TS-21340,SG01,C13,S06,R03
JG-15805,SG02,C110,S16,R04
SL-20155,SG03,C109,S03,R01
TS-21610,SG01,C21,S16,R04
RF-19735,SG01,C50,S02,R02
MW-18235,SG02,C174,S18,R01
RD-19585,SG01,C01,S01,R01
FM-14290,SG03,C138,S05,R02
RH-19495,SG01,C21,S16,R04
RA-19945,SG01,C175,S02,R02
JK-15730,SG01,C109,S04,R01
MT-17815,SG01,C49,S17,R02
PO-18850,SG01,C141,S24,R03
AT-10735,SG01,C23,S11,R03
VG-21790,SG01,C71,S02,R02
PF-19165,SG01,C176,S05,R02
JS-15880,SG01,C05,S05,R02
MO-17800,SG03,C02,S02,R02
KM-16225,SG02,C21,S16,R04
GT-14710,SG01,C177,S41,R04
PB-19150,SG01,C11,S10,R04
HR-14770,SG03,C02,S02,R02
DE-13255,SG03,C25,S25,R04
LA-16780,SG02,C84,S31,R04
AG-10390,SG01,C75,S25,R04
EL-13735,SG03,C178,S26,R03
JJ-15445,SG01,C02,S02,R02
JH-15430,SG01,C141,S04,R01
RD-19660,SG03,C179,S26,R03
MO-17500,SG01,C21,S16,R04
NS-18640,SG02,C23,S11,R03
SN-20710,SG03,C180,S11,R03
ZC-21910,SG01,C101,S03,R01
LC-16885,SG01,C09,S02,R02
DG-13300,SG02,C11,S10,R04
NF-18595,SG03,C21,S16,R04
BP-11185,SG02,C71,S02,R02
MG-17650,SG03,C11,S10,R04
JD-16060,SG01,C13,S06,R03
TS-21160,SG02,C168,S25,R04
BD-11620,SG01,C09,S02,R02
CM-12160,SG01,C181,S06,R03
SN-20560,SG03,C02,S02,R02
EH-14005,SG03,C61,S23,R02
FO-14305,SG01,C21,S16,R04
MS-17710,SG01,C124,S17,R02
CC-12100,SG03,C39,S15,R03
DW-13540,SG01,C05,S05,R02
BT-11395,SG02,C67,S13,R03
KD-16270,SG01,C182,S16,R04
LC-16870,SG01,C97,S24,R03
CY-12745,SG02,C183,S02,R02
LW-16990,SG02,C54,S04,R01
NP-18325,SG01,C71,S02,R02
BT-11485,SG03,C184,S40,R04
PS-19045,SG03,C36,S04,R01
NS-18640,SG02,C02,S02,R02
PV-18985,SG03,C09,S02,R02
RP-19390,SG01,C13,S06,R03
NM-18520,SG01,C170,S02,R02
EH-13945,SG01,C13,S06,R03
RA-19915,SG01,C185,S02,R02
DL-13495,SG02,C09,S02,R02
CS-12355,SG01,C186,S33,R01
HL-15040,SG01,C187,S37,R01
PA-19060,SG03,C103,S15,R03
BD-11605,SG01,C25,S18,R01
GG-14650,SG02,C188,S02,R02
JS-15940,SG03,C11,S10,R04
LR-16915,SG01,C189,S03,R01
FH-14275,SG02,C190,S15,R03
AP-10915,SG01,C02,S02,R02
NC-18340,SG01,C191,S13,R03
CB-12535,SG02,C192,S25,R04
KL-16555,SG02,C193,S34,R02
PS-19045,SG03,C194,S18,R01
GB-14530,SG02,C02,S02,R02
AA-10315,SG01,C32,S12,R03
LT-16765,SG01,C195,S02,R02
AP-10720,SG03,C21,S16,R04
PM-18940,SG01,C26,S13,R03
KC-16540,SG01,C05,S05,R02
SW-20275,SG01,C196,S13,R03
AA-10375,SG01,C02,S02,R02
LT-17110,SG01,C42,S11,R03
DP-13105,SG02,C21,S16,R04
AB-10060,SG03,C04,S39,R04
AT-10435,SG03,C02,S02,R02
JE-15745,SG01,C197,S40,R04
CA-12055,SG03,C13,S06,R03
DB-13060,SG01,C81,S31,R04
RB-19570,SG01,C109,S04,R01
HR-14830,SG02,C05,S05,R02
BT-11530,SG03,C02,S02,R02
NG-18355,SG02,C198,S03,R01
ZC-21910,SG01,C13,S06,R03
LS-16945,SG02,C61,S23,R02
LH-16750,SG01,C36,S04,R01
SW-20755,SG02,C21,S16,R04
SP-20620,SG02,C11,S10,R04
BF-11170,SG03,C02,S02,R02
BM-11140,SG01,C21,S16,R04
ZC-21910,SG01,C02,S02,R02
KT-16480,SG01,C199,S16,R04
BG-11695,SG02,C75,S25,R04
PG-18820,SG01,C200,S03,R01
GM-14680,SG01,C05,S05,R02
PG-18820,SG01,C21,S16,R04
EJ-14155,SG01,C201,S36,R01
NP-18700,SG01,C202,S02,R02
IM-15070,SG01,C159,S07,R03
MH-18115,SG03,C143,S10,R04
RB-19795,SG03,C36,S04,R01
JR-15700,SG01,C109,S03,R01
SM-20950,SG02,C203,S04,R01
CS-12355,SG01,C86,S16,R04
CC-12220,SG01,C190,S15,R03
PF-19225,SG01,C09,S02,R02
JC-16105,SG02,C02,S02,R02
BG-11695,SG02,C104,S23,R02
DC-12850,SG01,C160,S20,R01
SP-20545,SG02,C23,S11,R03
MS-17710,SG01,C06,S06,R03
BD-11770,SG01,C13,S06,R03
KC-16255,SG02,C204,S33,R01
TR-21325,SG01,C205,S24,R03
SA-20830,SG01,C109,S03,R01
KW-16435,SG01,C90,S06,R03
GM-14500,SG01,C206,S35,R04
AD-10180,SG03,C21,S16,R04
TB-21355,SG02,C21,S16,R04
CC-12430,SG03,C09,S02,R02
PF-19165,SG01,C71,S02,R02
JH-16180,SG01,C207,S23,R02
EB-13975,SG02,C55,S02,R02
QJ-19255,SG02,C34,S12,R03
AA-10315,SG01,C09,S02,R02
LC-17140,SG01,C25,S18,R01
TC-21535,SG03,C82,S18,R01
CS-12460,SG01,C39,S33,R01
BM-11785,SG01,C13,S06,R03
RC-19825,SG01,C46,S02,R02
FM-14380,SG01,C105,S32,R04
PK-19075,SG01,C39,S25,R04
HG-14965,SG02,C02,S02,R02
HA-14920,SG01,C11,S10,R04
LW-16825,SG02,C208,S03,R01
MC-17575,SG01,C75,S25,R04
LP-17095,SG01,C209,S01,R01
EB-14170,SG01,C41,S04,R01
GZ-14545,SG02,C105,S32,R04
LE-16810,SG01,C23,S11,R03
AD-10180,SG03,C11,S10,R04
CP-12085,SG02,C166,S30,R04
FG-14260,SG03,C09,S02,R02
LD-17005,SG01,C09,S02,R02
AB-10255,SG03,C161,S25,R04
MN-17935,SG01,C62,S06,R03
HP-14815,SG03,C02,S02,R02
JR-15670,SG01,C210,S30,R04
JF-15190,SG01,C02,S02,R02
CM-12115,SG01,C21,S16,R04
AS-10045,SG02,C109,S04,R01
KB-16315,SG01,C211,S16,R04
BN-11515,SG01,C70,S12,R03
BP-11290,SG01,C149,S11,R03
AS-10045,SG02,C82,S18,R01
DC-12850,SG01,C13,S06,R03
ND-18370,SG01,C104,S01,R01
LB-16735,SG01,C06,S06,R03
KT-16465,SG01,C02,S02,R02
HM-14860,SG02,C11,S10,R04
AB-10600,SG02,C94,S17,R02
SZ-20035,SG03,C212,S02,R02
JR-15670,SG01,C78,S23,R02
MG-17890,SG03,C184,S40,R04
KM-16720,SG01,C133,S02,R02
CA-12265,SG01,C213,S08,R02
VD-21670,SG01,C214,S08,R02
JK-16120,SG03,C35,S11,R03
PP-18955,SG03,C215,S33,R01
YS-21880,SG02,C141,S04,R01
CK-12760,SG02,C35,S11,R03
NC-18340,SG01,C21,S16,R04
KM-16375,SG03,C128,S18,R01
GM-14455,SG03,C39,S25,R04
SD-20485,SG03,C11,S10,R04
KD-16270,SG01,C21,S16,R04
AB-10105,SG01,C43,S17,R02
SZ-20035,SG03,C56,S06,R03
JD-15895,SG02,C21,S16,R04
HA-14905,SG01,C21,S16,R04
BT-11305,SG03,C117,S02,R02
SV-20815,SG02,C13,S06,R03
RW-19540,SG02,C124,S17,R02
DK-12835,SG02,C163,S02,R02
LT-17110,SG01,C39,S25,R04
IM-15070,SG01,C160,S20,R01
FP-14320,SG01,C05,S05,R02
ST-20530,SG01,C216,S25,R04
JE-15745,SG01,C113,S06,R03
BD-11320,SG01,C206,S35,R04
MM-17920,SG01,C09,S02,R02
PW-19030,SG02,C103,S01,R01
SC-20440,SG02,C35,S23,R02
SD-20485,SG03,C23,S11,R03
TS-21160,SG02,C11,S10,R04
JB-15400,SG02,C02,S02,R02
TS-21085,SG01,C43,S17,R02
MC-17425,SG02,C217,S20,R01
ME-17320,SG03,C39,S33,R01
SC-20440,SG02,C218,S32,R04
NH-18610,SG02,C219,S06,R03
AA-10480,SG01,C210,S30,R04
LC-17140,SG01,C05,S05,R02
MB-18085,SG01,C220,S31,R04
LC-16930,SG02,C46,S06,R03
KD-16495,SG02,C21,S16,R04
MB-17305,SG01,C221,S17,R02
TH-21550,SG03,C109,S03,R01
DK-12835,SG02,C67,S13,R03
ON-18715,SG02,C11,S10,R04
KN-16390,SG02,C02,S02,R02
NM-18520,SG01,C13,S06,R03
NP-18685,SG03,C222,S16,R04
CG-12040,SG03,C21,S16,R04
CS-12505,SG01,C223,S04,R01
KD-16345,SG01,C224,S02,R02
MK-18160,SG01,C09,S02,R02
DW-13540,SG01,C26,S19,R01
CP-12340,SG02,C05,S05,R02
MS-17770,SG01,C21,S16,R04
CM-12655,SG03,C02,S02,R02
Co-12640,SG01,C11,S10,R04
DL-13495,SG02,C21,S16,R04
TS-21370,SG02,C21,S16,R04
JW-15220,SG02,C138,S05,R02
RF-19840,SG01,C39,S33,R01
JD-15790,SG01,C225,S06,R03
NK-18490,SG03,C09,S02,R02
NG-18430,SG01,C90,S06,R03
PC-19000,SG03,C02,S02,R02
AR-10540,SG01,C21,S16,R04
CS-12505,SG01,C39,S33,R01
LS-16975,SG03,C156,S09,R03
JM-15535,SG01,C02,S02,R02
NH-18610,SG02,C226,S02,R02
RA-19915,SG01,C62,S06,R03
AI-10855,SG01,C11,S10,R04
MC-17845,SG01,C227,S34,R02
TB-21400,SG01,C05,S05,R02
VW-21775,SG02,C09,S02,R02
PL-18925,SG03,C23,S11,R03
GH-14425,SG01,C94,S17,R02
CJ-12010,SG01,C228,S10,R04
MC-18130,SG02,C47,S14,R04
BV-11245,SG02,C101,S03,R01
JF-15490,SG01,C229,S17,R02
EB-13840,SG02,C21,S16,R04
MP-18175,SG03,C230,S02,R02
JM-15655,SG02,C231,S31,R04
CL-11890,SG01,C232,S32,R04
CK-12205,SG01,C39,S25,R04
